Alex Abrines,OKC,24,75,1134,9.0,.567,.759,.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1.0,2.2,.094,-0.5,-1.7,-2.2,-0.1
Quincy Acy,BRK,27,70,1359,8.2,.525,.800,.164,3.1,17.0,10.0,6.0,1.2,1.6,13.3,14.4,-0.1,1.1,1.0,.036,-2.0,-0.2,-2.2,-0.1
Steven Adams,OKC,24,76,2487,20.6,.630,.003,.402,16.6,13.9,15.3,5.5,1.8,2.8,13.2,16.7,6.7,3.0,9.7,.187,2.2,1.1,3.3,3.3
Bam Adebayo,MIA,20,69,1368,15.7,.570,.021,.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,2.3,1.9,4.2,.148,-1.6,1.8,0.2,0.8
Arron Afflalo,ORL,32,53,682,5.8,.516,.432,.160,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,.009,-4.1,-1.8,-5.8,-0.7
Cole Aldrich,MIN,29,21,49,6.0,.340,.000,.400,7.0,28.6,17.7,8.2,2.0,1.8,5.4,16.8,-0.1,0.1,0.0,-0.013,-7.0,0.1,-6.9,-0.1
LaMarcus Aldridge,SAS,32,75,2509,25.0,.570,.068,.296,10.8,17.3,14.0,11.3,0.9,3.0,6.8,29.1,7.4,3.5,10.9,.209,3.0,0.3,3.3,3.3
Jarrett Allen,BRK,19,72,1441,17.5,.636,.038,.370,10.5,18.2,14.3,5.4,0.9,4.6,15.1,16.3,2.7,1.5,4.2,.141,-1.3,1.4,0.2,0.8
Kadeem Allen,BOS,25,18,107,2.6,.366,.500,.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,-0.2,0.1,-0.1,-0.039,-6.7,0.3,-6.4,-0.1
Tony Allen,NOP,36,22,273,8.7,.514,.132,.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,-0.2,0.2,0.1,.017,-4.0,-1.3,-5.2,-0.2
Al-Farouq Aminu,POR,27,69,2072,12.0,.522,.582,.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,.097,-0.8,1.9,1.1,1.6
Justin Anderson,PHI,24,38,519,13.0,.540,.510,.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,0.6,0.7,1.2,.115,-0.5,-1.5,-2.0,0.0
Kyle Anderson,SAS,24,74,1978,15.9,.582,.130,.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,2.4,3.8,6.2,.151,-0.3,4.3,4.1,3.0
Ryan Anderson,HOU,29,66,1725,12.6,.592,.706,.194,6.2,15.4,10.8,5.1,0.7,1.0,7.5,14.4,3.1,1.7,4.8,.132,1.0,-0.8,0.2,1.0
Ike Anigbogu,IND,19,11,30,21.6,.558,.000,.667,19.0,15.0,16.9,0.0,1.7,8.9,14.7,20.3,0.1,0.0,0.1,.165,-4.1,-1.2,-5.4,0.0
Giannis Antetokounmpo,MIL,23,75,2756,27.3,.598,.100,.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,8.3,3.6,11.9,.207,3.9,1.9,5.8,5.4
Carmelo Anthony,OKC,33,78,2501,12.7,.503,.406,.165,2.9,17.7,10.0,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,.071,-1.9,-1.9,-3.8,-1.1
OG Anunoby,TOR,20,74,1481,10.0,.587,.569,.179,3.4,10.4,7.0,5.0,1.7,0.8,10.8,12.4,1.4,1.6,3.0,.098,0.2,0.4,0.6,1.0
Ryan Arcidiacono,CHI,23,24,304,7.3,.550,.756,.146,0.3,8.8,4.4,15.5,2.1,0.0,23.0,8.1,0.1,0.2,0.3,.040,-3.3,-0.7,-4.1,-0.2
Trevor Ariza,HOU,32,67,2269,11.8,.567,.710,.137,1.7,12.9,7.3,6.8,2.1,0.5,7.0,14.4,2.6,2.8,5.3,.113,0.8,0.7,1.5,2.0
