Tariq Abdul-Wahad,SAC,24,49,1205,11.8,.486,.052,.334,6.3,9.9,8.1,6.5,2.1,0.8,13.0,19.0,0.5,0.9,1.4,.058,-2.4,-0.4,-2.8,-0.2
Shareef Abdur-Rahim,VAN,22,50,2021,20.7,.530,.040,.492,6.5,15.4,10.9,17.6,1.8,2.0,14.6,28.9,3.7,0.9,4.6,.108,1.9,-0.3,1.6,1.8
Cory Alexander,DEN,25,36,778,11.0,.467,.404,.169,1.0,10.3,5.5,26.6,2.4,0.5,19.8,20.3,-0.2,0.0,-0.3,-0.016,-1.3,-2.3,-3.6,-0.3
Ray Allen*,MIL,23,50,1719,18.9,.564,.309,.290,4.1,10.7,7.4,18.8,1.7,0.3,13.9,24.5,4.2,1.1,5.2,.146,4.2,-1.3,2.9,2.1
Peter Aluma,SAC,25,2,5,3.1,.500,.000,.000,21.2,21.0,21.1,0.0,10.0,12.7,50.0,34.1,0.0,0.0,0.0,-0.206,-15.2,8.2,-7.1,0.0
Derek Anderson,CLE,24,38,978,16.5,.529,.220,.525,2.6,11.5,7.1,28.5,2.7,0.3,17.5,23.4,1.1,1.0,2.1,.105,1.2,-0.4,0.8,0.7
Kenny Anderson,BOS,28,34,1010,16.7,.513,.067,.283,2.6,9.1,5.7,32.5,1.7,0.1,15.0,20.9,1.8,0.6,2.4,.116,0.9,-2.2,-1.3,0.2
Nick Anderson,ORL,31,47,1581,15.3,.493,.433,.253,3.7,16.9,10.2,10.7,2.2,0.7,10.4,22.8,1.3,2.6,3.9,.118,1.0,0.3,1.3,1.3
Shandon Anderson,UTA,25,50,1072,12.8,.511,.113,.344,6.0,8.8,7.5,9.7,2.0,0.7,13.6,21.6,0.7,1.3,2.0,.088,-1.1,-0.2,-1.4,0.2
Chris Anstey,DAL,24,41,470,9.2,.418,.050,.345,8.3,14.9,11.6,9.3,2.1,2.0,14.0,18.2,-0.2,0.4,0.3,.027,-3.3,0.3,-3.1,-0.1
Greg Anthony,POR,31,50,806,16.6,.550,.498,.355,2.1,6.8,4.5,21.1,4.4,0.3,15.9,19.6,1.3,1.5,2.8,.165,2.4,0.7,3.0,1.0
B.J. Armstrong,TOT,31,32,358,12.9,.540,.170,.239,0.7,12.0,6.4,29.2,1.8,0.0,20.5,15.8,0.4,0.4,0.7,.100,-1.8,-1.6,-3.4,-0.1
Darrell Armstrong,ORL,30,50,1502,22.2,.575,.362,.341,4.0,10.0,7.0,40.8,3.9,0.2,20.8,22.9,3.8,2.7,6.4,.205,5.1,0.8,5.9,3.0
Keith Askins,MIA,31,33,415,3.5,.404,.468,.129,3.1,9.2,6.4,3.9,2.3,0.5,16.6,9.4,-0.3,0.5,0.2,.029,-3.5,1.2,-2.2,0.0
Stacey Augmon,POR,30,48,874,13.0,.501,.011,.437,6.4,9.9,8.3,10.6,3.5,1.5,12.6,12.4,1.0,1.6,2.6,.142,-0.7,3.4,2.7,1.0
Isaac Austin,ORL,29,49,1259,12.0,.457,.015,.347,7.5,14.5,10.9,12.8,2.0,2.1,17.9,22.9,-0.9,2.1,1.2,.045,-3.4,1.6,-1.8,0.1
Anthony Avent,UTA,29,5,44,1.3,.324,.000,.154,23.9,10.3,16.6,3.8,2.5,0.0,33.5,22.7,-0.2,0.1,-0.1,-0.153,-8.1,-0.9,-9.0,-0.1
Thurl Bailey,UTA,37,43,543,11.5,.476,.011,.194,8.7,12.1,10.6,8.7,0.9,3.9,12.4,19.1,0.2,0.7,0.9,.083,-2.8,1.0,-1.8,0.0
Toby Bailey,PHO,23,27,249,11.3,.425,.058,.151,11.0,14.3,12.6,8.6,1.9,0.6,10.7,19.0,0.0,0.2,0.2,.041,-3.1,-1.4,-4.5,-0.2
LaMark Baker,TOR,29,1,2,-46.6,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,45.4,-0.1,0.0,-0.1,-1.289,-41.2,-7.7,-48.9,0.0
