Alaa Abdelnaby,BOS,25,13,159,9.2,.485,.000,.455,8.5,24.2,16.3,2.7,0.6,1.2,20.5,22.6,-0.2,0.1,-0.1,-0.032,-7.1,-3.1,-10.2,-0.3
Mahmoud Abdul-Rauf,DEN,24,80,2617,16.7,.521,.104,.179,1.2,5.8,3.6,24.1,1.6,0.2,9.9,24.9,4.4,2.4,6.8,.125,1.6,-2.1,-0.6,0.9
Michael Adams,WSB,31,70,2337,14.2,.520,.274,.387,1.8,7.4,4.6,29.8,2.1,0.2,17.0,18.1,2.9,0.2,3.1,.063,0.9,-2.5,-1.6,0.2
Mark Aguirre,LAC,34,39,859,13.1,.544,.267,.207,3.5,10.8,7.2,18.5,1.2,0.6,15.6,21.6,0.6,0.3,0.9,.050,0.0,-2.1,-2.1,0.0
Danny Ainge,PHO,34,68,1555,11.8,.524,.454,.175,2.0,7.4,4.7,15.9,1.8,0.3,12.3,17.8,1.9,1.0,2.8,.087,0.7,-1.9,-1.3,0.3
Gary Alexander,TOT,24,11,55,8.6,.529,.000,.643,14.7,16.8,15.8,5.4,2.9,0.0,30.8,21.0,-0.1,0.1,0.0,-0.032,-5.1,-0.7,-5.8,-0.1
Victor Alexander,GSW,24,69,1318,14.0,.539,.026,.257,9.5,15.7,12.6,7.3,1.0,1.5,13.3,20.2,1.1,1.1,2.3,.083,-1.3,-1.4,-2.8,-0.3
Eric Anderson,NYK,23,11,39,15.2,.453,.118,.824,17.8,31.3,24.7,8.5,0.0,1.8,7.9,28.3,0.0,0.1,0.1,.126,-2.5,-2.1,-4.6,0.0
Greg Anderson,DET,29,77,1624,14.6,.561,.008,.416,12.3,26.9,19.5,4.6,1.7,2.7,17.7,14.3,1.4,2.0,3.4,.101,-2.3,1.3,-1.1,0.4
Kenny Anderson,NJN,23,82,3135,18.2,.491,.096,.306,2.9,8.0,5.4,40.6,2.5,0.3,14.5,24.6,4.3,3.2,7.5,.114,2.7,-0.6,2.1,3.2
Nick Anderson,ORL,26,81,2811,16.9,.549,.298,.237,4.6,14.3,9.5,15.7,2.4,0.7,12.4,20.2,4.6,3.0,7.6,.129,2.4,0.6,3.0,3.6
Ron Anderson,TOT,35,21,356,9.9,.499,.302,.267,4.9,11.8,8.3,6.8,1.1,0.5,9.4,12.7,0.3,0.2,0.5,.061,-1.8,-1.4,-3.2,-0.1
Willie Anderson,SAS,27,80,2488,14.2,.523,.081,.204,3.2,7.5,5.5,21.6,1.5,1.2,14.4,19.2,3.2,2.3,5.6,.107,0.3,-0.3,0.0,1.3
Greg Anthony,NYK,26,80,1994,13.0,.487,.280,.294,2.5,8.1,5.4,27.3,3.0,0.5,16.5,17.0,1.6,3.9,5.5,.132,-0.6,1.6,1.0,1.5
B.J. Armstrong,CHI,26,82,2770,14.5,.547,.134,.225,1.2,6.0,3.6,18.0,1.5,0.2,10.6,19.8,4.9,2.6,7.5,.130,0.6,-1.5,-0.9,0.8
Vincent Askew,SEA,27,80,1690,15.9,.551,.055,.372,4.2,8.7,6.5,16.8,2.2,0.8,9.6,18.5,3.9,2.1,6.0,.169,0.8,-0.2,0.6,1.1
Keith Askins,MIA,26,37,319,8.2,.460,.239,.114,11.7,17.5,14.6,5.9,1.8,0.2,18.5,15.3,-0.1,0.4,0.3,.044,-2.8,-0.9,-3.7,-0.1
Stacey Augmon,ATL,25,82,2605,17.9,.576,.008,.506,7.5,9.2,8.3,11.0,2.9,1.1,12.3,19.8,5.7,4.0,9.7,.179,1.7,1.6,3.3,3.5
Isaac Austin,PHI,24,14,201,14.1,.473,.015,.348,13.6,24.1,18.8,13.2,1.2,3.0,18.3,20.1,0.0,0.2,0.2,.040,-3.1,0.7,-2.5,0.0
Anthony Avent,TOT,24,74,1371,9.2,.430,.000,.309,11.7,16.4,14.0,6.8,1.2,1.5,15.8,16.9,-0.6,1.0,0.4,.014,-4.1,-0.6,-4.6,-0.9
John Bagley,ATL,33,3,13,7.6,.347,.000,1.000,0.0,8.5,4.2,28.1,0.0,0.0,0.0,9.5,0.0,0.0,0.0,.105,-5.2,-3.7,-8.9,0.0
Thurl Bailey,MIN,32,79,1297,15.2,.560,.004,.327,6.1,13.2,9.7,7.2,0.8,2.9,10.0,19.5,1.9,0.7,2.6,.097,-1.3,-1.2,-2.5,-0.2
