Alaa Abdelnaby,TOT,26,54,506,12.6,.519,.009,.152,8.7,17.4,13.1,5.0,1.5,1.8,15.4,25.6,-0.4,0.7,0.3,.027,-4.6,-1.7,-6.3,-0.6
Mahmoud Abdul-Rauf,DEN,25,73,2082,17.8,.543,.214,.155,1.9,5.9,3.9,23.0,1.9,0.3,10.0,25.8,3.8,1.3,5.0,.115,2.2,-2.8,-0.6,0.7
Michael Adams,CHH,32,29,443,17.7,.583,.547,.203,1.7,5.9,3.9,34.6,2.7,0.2,13.9,19.6,1.1,0.5,1.6,.169,3.1,-2.6,0.5,0.3
Rafael Addison,DET,30,79,1776,11.3,.521,.142,.169,4.4,11.6,8.0,9.9,1.5,1.0,10.8,17.8,0.9,0.6,1.5,.040,-1.9,-1.5,-3.4,-0.6
Danny Ainge,PHO,35,74,1374,14.3,.596,.507,.308,2.1,7.0,4.6,21.7,1.7,0.4,14.2,17.6,2.8,0.6,3.4,.118,2.1,-2.5,-0.4,0.6
Victor Alexander,GSW,25,50,1237,12.8,.530,.056,.134,7.7,18.4,13.0,7.8,1.1,1.6,13.8,18.8,0.3,0.8,1.1,.044,-2.4,-0.3,-2.7,-0.2
Derrick Alston,PHI,22,64,1032,11.6,.481,.016,.465,11.0,13.8,12.4,5.1,2.0,2.5,14.6,15.7,0.0,1.0,1.0,.045,-2.9,0.5,-2.4,-0.1
Greg Anderson,ATL,30,51,622,12.6,.547,.000,.683,11.3,24.2,17.6,4.1,2.0,3.9,19.1,12.2,0.3,1.3,1.5,.118,-4.1,2.7,-1.4,0.1
Kenny Anderson,NJN,24,72,2689,18.0,.522,.285,.402,3.0,7.2,5.1,43.1,2.0,0.4,15.6,23.5,4.8,2.0,6.8,.122,3.5,-1.8,1.7,2.5
Nick Anderson,ORL,27,76,2588,17.5,.593,.467,.220,3.9,10.7,7.4,17.4,2.4,0.6,12.2,19.1,5.7,2.6,8.3,.154,4.0,-0.2,3.9,3.8
Willie Anderson,SAS,28,38,556,10.3,.514,.117,.253,3.2,7.8,5.6,13.8,2.4,1.2,17.4,17.3,0.0,0.7,0.7,.061,-2.5,0.8,-1.7,0.0
