Alaa Abdelnaby,POR,23,71,934,13.5,.533,.000,.280,9.5,20.9,15.2,4.7,1.3,1.1,14.0,20.6,0.6,1.5,2.1,.110,-3.0,-0.9,-3.9,-0.5
Mahmoud Abdul-Rauf,DEN,22,81,1538,12.6,.469,.111,.128,1.5,6.8,4.0,21.0,1.4,0.2,11.6,26.7,-0.2,0.8,0.6,.018,-1.7,-3.5,-5.2,-1.3
Mark Acres,ORL,29,68,926,10.1,.576,.020,.444,11.4,19.2,15.2,3.2,1.3,1.0,15.5,9.6,1.1,0.8,1.9,.097,-2.3,0.1,-2.2,-0.1
Michael Adams,WSB,29,78,2795,17.1,.506,.313,.292,2.2,10.1,6.1,31.5,2.5,0.2,13.2,24.2,2.6,2.6,5.3,.090,2.5,-0.8,1.7,2.6
Rafael Addison,NJN,27,76,1175,10.9,.477,.113,.176,5.7,9.3,7.4,8.1,1.2,1.4,9.0,17.5,0.8,0.7,1.5,.063,-2.3,-1.5,-3.8,-0.5
Mark Aguirre,DET,32,75,1582,13.7,.479,.090,.292,4.8,12.0,8.4,13.4,1.7,0.4,10.6,27.6,0.1,2.0,2.2,.066,-1.6,-1.0,-2.6,-0.2
Danny Ainge,POR,32,81,1595,15.4,.534,.340,.194,2.7,7.4,5.1,18.4,2.2,0.5,8.7,20.5,3.1,2.0,5.2,.155,1.9,-0.9,1.0,1.2
Victor Alexander,GSW,22,80,1350,13.9,.561,.002,.325,8.7,18.3,13.6,3.1,1.5,2.7,14.8,18.3,1.1,1.4,2.5,.090,-2.2,-0.7,-2.9,-0.3
Greg Anderson,DEN,27,82,2793,12.6,.486,.005,.314,12.3,24.7,18.2,4.1,1.5,1.4,17.1,17.1,-0.6,3.6,3.0,.052,-3.1,0.5,-2.6,-0.5
Kenny Anderson,NJN,21,64,1086,12.8,.430,.027,.204,3.6,9.0,6.2,26.5,3.0,0.5,15.6,22.9,-0.6,1.1,0.5,.022,-2.7,-0.9,-3.6,-0.5
Nick Anderson,ORL,24,60,2203,16.4,.509,.082,.291,4.8,14.9,9.7,12.4,2.2,0.9,9.7,24.5,1.6,2.0,3.6,.078,0.5,0.2,0.7,1.5
Ron Anderson,PHI,33,82,2432,14.1,.520,.126,.162,4.6,8.5,6.5,9.0,1.8,0.3,9.2,21.5,2.2,1.3,3.5,.070,-0.1,-1.7,-1.7,0.2
Willie Anderson,SAS,25,57,1889,13.8,.499,.082,.201,3.6,13.6,8.7,23.2,1.4,1.7,15.8,19.8,0.7,2.6,3.3,.083,-0.6,1.3,0.7,1.3
Michael Ansley,TOT,24,10,45,9.0,.509,.000,.333,5.1,9.9,7.5,6.8,0.0,0.0,12.7,22.5,0.0,0.0,0.0,.013,-4.7,-5.5,-10.3,-0.1
Greg Anthony,NYK,24,82,1510,10.6,.443,.126,.363,2.5,7.7,5.2,28.6,2.0,0.4,16.3,17.4,0.2,2.0,2.2,.070,-2.6,-0.3,-2.8,-0.3
B.J. Armstrong,CHI,24,82,1875,14.1,.537,.125,.185,1.2,7.6,4.5,19.2,1.2,0.2,11.1,19.5,2.7,1.8,4.6,.117,-0.1,-2.0,-2.0,0.0
Vincent Askew,GSW,25,80,1496,12.7,.554,.026,.422,6.6,10.3,8.5,15.4,1.5,0.9,15.7,14.3,2.0,0.8,2.9,.092,0.0,-0.2,-0.2,0.7
Keith Askins,MIA,24,59,843,8.7,.495,.356,.180,8.5,10.4,9.4,6.2,2.3,1.1,17.5,13.3,0.0,0.7,0.7,.040,-1.7,0.2,-1.5,0.1
Stacey Augmon,ATL,23,82,2505,14.4,.526,.007,.356,7.9,9.9,8.9,11.4,2.4,0.6,14.8,20.1,1.5,2.2,3.7,.071,-0.3,0.6,0.3,1.5
Isaac Austin,UTA,22,31,112,15.0,.515,.000,.652,11.6,23.1,17.6,6.7,0.9,1.1,11.9,25.9,0.1,0.2,0.3,.112,-2.8,-2.4,-5.2,-0.1
Milos Babic,MIA,23,9,35,18.3,.545,.000,.615,6.3,29.1,17.6,26.4,1.4,0.0,23.2,25.8,0.0,0.0,0.0,.057,-2.6,-0.4,-3.0,0.0
John Bagley,BOS,31,73,1742,12.7,.478,.083,.188,2.5,7.4,5.1,35.9,1.6,0.1,21.3,17.2,0.6,1.4,1.9,.053,-1.3,-1.7,-3.0,-0.4
Thurl Bailey,TOT,30,84,2104,14.5,.498,.002,.323,6.3,19.5,12.8,5.5,0.8,3.3,10.2,21.5,0.8,1.8,2.6,.059,-3.0,-0.8,-3.8,-1.0
Steve Bardo,SAS,23,1,1,32.3,0,0,0,100.0,0.0,54.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,.424,14.6,-8.6,6.1,0.0
Charles Barkley*,PHI,28,75,2881,24.5,.612,.122,.580,10.9,22.0,16.5,18.1,2.4,0.9,14.3,25.1,8.6,3.7,12.3,.205,5.9,1.5,7.4,6.9
Dana Barros,SEA,24,75,1331,15.0,.586,.377,.160,1.4,5.7,3.5,14.0,1.9,0.2,9.6,18.4,2.9,0.7,3.6,.132,2.3,-2.6,-0.3,0.6
John Battle,CLE,29,76,1637,12.6,.530,.026,.259,1.3,6.1,3.8,14.5,1.1,0.2,11.0,22.0,1.3,0.7,2.0,.059,-1.5,-2.9,-4.5,-1.0
Kenny Battle,TOT,27,16,92,13.4,.718,.059,.706,5.0,13.9,9.5,5.6,1.0,1.3,15.2,11.7,0.2,0.1,0.3,.153,-0.7,-1.8,-2.5,0.0
William Bedford,DET,28,32,363,8.4,.436,.008,.182,7.5,12.0,9.8,4.9,0.9,3.1,10.3,17.6,-0.2,0.5,0.3,.043,-4.9,0.5,-4.4,-0.2
Benoit Benjamin,SEA,27,63,1941,14.1,.517,.003,.336,7.6,23.2,15.2,5.9,1.0,3.9,17.1,22.2,-0.3,2.5,2.2,.054,-3.1,0.8,-2.4,-0.2
Winston Bennett,TOT,26,54,833,6.3,.418,.005,.237,8.8,12.8,10.8,5.9,1.2,0.6,12.4,13.9,-0.3,0.7,0.3,.020,-3.8,-0.5,-4.3,-0.5
David Benoit,UTA,23,77,1161,12.1,.518,.037,.267,10.7,17.7,14.4,4.2,0.8,2.3,14.5,18.2,0.5,1.5,2.0,.085,-2.6,-0.3,-2.9,-0.3
Larry Bird*,BOS,35,45,1662,21.0,.547,.169,.214,3.2,24.6,14.4,26.9,1.3,1.2,13.1,24.7,3.0,2.5,5.5,.159,3.3,2.2,5.5,3.1
Rolando Blackman,DAL,32,75,2527,15.6,.538,.146,.229,3.2,7.0,5.0,14.0,1.0,0.5,10.7,24.4,3.1,0.7,3.8,.072,1.2,-2.2,-1.0,0.7
Lance Blanks,DET,25,43,189,11.9,.535,.291,.200,5.4,7.7,6.6,14.9,3.9,0.3,19.0,17.2,0.1,0.3,0.4,.096,-1.1,1.3,0.2,0.1
Mookie Blaylock,NJN,24,72,2548,15.2,.465,.054,.178,4.1,7.2,5.6,27.2,3.3,0.9,12.4,19.3,2.3,2.6,4.9,.092,0.4,0.5,0.9,1.9
Muggsy Bogues,CHH,27,82,2790,14.0,.504,.040,.179,2.2,6.9,4.5,33.4,2.9,0.1,17.7,12.8,3.0,1.8,4.8,.082,-0.5,-1.0,-1.4,0.4
Manute Bol,PHI,29,71,1267,7.7,.394,.070,.203,4.9,15.1,10.0,2.3,0.4,9.8,22.7,6.3,-0.9,1.6,0.8,.028,-6.0,5.3,-0.7,0.4
Anthony Bonner,SAC,23,79,2287,10.9,.484,.006,.366,9.0,13.9,11.4,7.6,2.0,0.7,14.8,16.4,-0.2,1.9,1.6,.035,-2.6,0.2,-2.4,-0.2
Anthony Bowie,ORL,28,52,1721,14.7,.547,.070,.215,4.4,11.7,8.0,14.9,1.6,1.4,13.4,19.3,1.8,1.1,2.9,.082,0.2,0.5,0.7,1.2
Sam Bowie,NJN,30,71,2179,16.4,.496,.026,.296,9.5,18.9,14.0,12.5,0.9,3.3,12.3,22.5,2.2,2.4,4.6,.101,-0.7,0.7,0.0,1.1
Terrell Brandon,CLE,21,82,1605,12.8,.461,.038,.206,3.5,7.6,5.6,27.8,2.6,0.8,17.2,21.5,-0.6,1.5,0.9,.028,-2.2,-0.8,-3.0,-0.4
Randy Breuer,MIN,31,67,1176,14.3,.480,.003,.224,8.9,17.7,13.2,10.6,1.2,5.0,9.8,15.1,0.7,1.0,1.7,.070,-2.1,1.9,-0.2,0.5
Frank Brickowski,MIL,32,65,1556,15.5,.564,.010,.279,6.9,18.9,12.6,12.3,1.9,0.9,14.6,20.7,2.0,1.4,3.4,.105,-0.1,0.0,-0.1,0.7
Kevin Brooks,DEN,22,37,270,10.2,.494,.113,.216,4.9,11.0,7.8,6.1,1.4,0.5,14.5,18.7,0.0,0.2,0.1,.025,-4.1,-2.1,-6.2,-0.3
Scott Brooks,MIN,26,82,1082,16.0,.519,.241,.168,2.7,7.6,5.0,27.2,3.1,0.4,11.3,17.8,1.5,0.6,2.1,.095,1.0,-1.9,-1.0,0.3
Chucky Brown,TOT,23,42,431,10.8,.501,.023,.383,8.1,13.6,10.8,9.0,1.4,1.0,16.2,18.1,0.0,0.4,0.3,.036,-3.2,-1.0,-4.2,-0.2
Dee Brown,BOS,23,31,883,13.0,.472,.063,.223,2.0,7.6,4.9,25.6,1.9,0.5,13.3,21.6,0.2,0.8,1.0,.055,-0.8,-0.8,-1.6,0.1
Mike Brown,UTA,28,82,1783,12.3,.515,.002,.584,12.4,17.5,15.1,6.3,1.2,1.2,14.6,17.4,1.4,2.3,3.7,.100,-1.3,0.5,-0.8,0.5
Myron Brown,MIN,22,4,23,14.7,.750,.500,.000,0.0,14.9,7.2,38.6,2.2,0.0,40.0,18.5,0.0,0.0,0.0,.032,-1.6,-3.5,-5.0,0.0
Randy Brown,SAC,23,56,535,11.5,.494,.036,.343,5.2,8.7,7.0,15.7,3.2,1.3,17.8,18.5,-0.2,0.5,0.3,.028,-3.2,0.0,-3.2,-0.2
Tony Brown,TOT,31,57,655,11.4,.487,.253,.265,5.5,9.2,7.3,10.6,2.3,0.5,11.2,20.2,0.3,0.6,0.9,.069,-1.0,-1.3,-2.3,0.0
Mark Bryant,POR,26,56,800,11.3,.512,.015,.303,11.9,15.5,13.7,6.8,1.6,0.6,11.8,12.9,0.9,1.2,2.1,.125,-1.2,0.9,-0.3,0.3
Jud Buechler,TOT,23,28,290,10.1,.436,.014,.296,6.8,12.6,9.8,10.0,3.2,1.5,13.9,13.2,0.0,0.4,0.4,.061,-3.1,1.9,-1.2,0.1
Matt Bullard,HOU,24,80,1278,12.6,.546,.371,.112,6.5,12.7,9.7,8.9,1.0,1.0,10.7,17.8,1.3,1.0,2.4,.089,-0.1,-1.5,-1.5,0.1
Willie Burton,MIA,23,68,1585,13.5,.522,.024,.394,5.3,12.0,8.6,12.0,1.4,1.4,14.0,22.4,1.0,1.0,2.0,.062,-1.6,-1.0,-2.6,-0.2
Steve Burtt,PHO,29,31,356,13.4,.509,.038,.338,3.2,7.1,5.2,24.0,2.2,0.6,15.2,25.3,0.1,0.4,0.5,.067,-1.4,-1.7,-3.1,-0.1
Michael Cage,SEA,30,82,2461,15.0,.583,.009,.315,12.2,22.1,17.1,5.1,2.0,1.4,11.2,11.9,4.4,3.2,7.6,.148,1.0,1.6,2.6,2.9
Demetrius Calip,LAL,22,7,58,1.8,.285,.278,.167,1.9,8.0,4.9,28.2,0.9,0.0,20.6,18.3,-0.2,0.0,-0.2,-0.134,-7.6,-3.7,-11.3,-0.1
Elden Campbell,LAL,23,81,1876,13.3,.491,.004,.454,9.3,16.5,12.8,4.6,1.5,5.2,11.0,15.4,0.9,2.4,3.3,.085,-2.7,2.1,-0.6,0.7
Tony Campbell,MIN,29,78,2441,15.3,.515,.033,.263,6.2,6.8,6.5,14.8,1.7,0.8,11.5,25.0,1.9,0.6,2.5,.048,0.8,-1.9,-1.1,0.6
Antoine Carr,SAS,30,81,1867,13.5,.534,.007,.290,7.6,12.6,10.1,5.1,0.9,3.2,12.1,21.2,1.5,2.5,4.0,.102,-1.8,-0.1,-1.9,0.1
Bill Cartwright,CHI,34,64,1471,10.9,.497,.000,.357,7.5,17.7,12.7,7.6,0.8,0.6,12.7,17.3,0.6,1.9,2.5,.082,-2.4,-0.3,-2.7,-0.3
Terry Catledge,ORL,28,78,2430,15.2,.537,.004,.375,11.5,13.8,12.6,7.1,1.2,0.4,11.4,20.7,3.2,1.4,4.6,.091,0.5,-1.0,-0.5,0.9
Duane Causwell,SAC,23,80,2291,12.4,.575,.002,.488,9.2,18.1,13.6,3.5,1.0,5.5,18.3,12.3,1.3,2.6,3.9,.081,-2.9,2.3,-0.6,0.8
Cedric Ceballos,PHO,22,64,725,16.9,.537,.016,.405,9.5,13.3,11.5,10.5,1.1,0.9,14.2,28.8,0.5,0.7,1.3,.085,-1.3,-2.4,-3.7,-0.3
Tom Chambers,PHO,32,69,1948,15.9,.501,.050,.314,5.1,17.0,11.3,10.7,1.4,1.1,8.4,26.3,1.9,2.5,4.4,.109,-1.1,-0.7,-1.8,0.1
Rex Chapman,TOT,24,22,567,12.1,.490,.115,.210,1.9,9.3,5.5,22.1,1.3,0.8,14.0,22.9,-0.1,0.2,0.1,.010,-1.8,-2.4,-4.2,-0.3
Maurice Cheeks*,ATL,35,56,1086,12.6,.483,.024,.173,2.8,6.6,4.6,22.1,3.7,0.0,11.8,11.6,1.0,1.1,2.1,.094,-1.4,0.6,-0.8,0.3
Pete Chilcutt,SAC,23,69,817,11.2,.478,.008,.112,10.3,14.4,12.3,6.6,1.9,1.2,13.5,15.5,0.0,0.7,0.7,.042,-3.4,-0.5,-3.9,-0.4
Derrick Coleman,NJN,24,65,2207,19.5,.570,.079,.410,9.4,20.6,14.8,14.1,1.2,2.6,18.0,25.1,3.0,2.6,5.6,.121,1.2,0.7,1.9,2.2
Bimbo Coles,MIA,23,81,1976,14.3,.534,.080,.404,3.8,6.9,5.3,27.6,1.8,0.4,17.9,19.8,2.1,0.9,3.0,.073,-0.1,-1.9,-2.0,0.0
Marty Conlon,SEA,24,45,381,9.3,.521,.000,.317,9.8,11.1,10.4,4.3,1.2,1.2,19.0,15.7,0.0,0.2,0.3,.037,-3.0,-1.3,-4.3,-0.2
Lester Conner,MIL,32,81,1420,13.3,.496,.029,.481,4.9,10.1,7.4,27.1,3.4,0.4,21.4,10.9,1.4,1.3,2.7,.091,-1.2,0.8,-0.4,0.6
Anthony Cook,DEN,24,22,115,15.8,.615,.000,.240,11.5,20.9,15.9,2.5,2.1,2.1,9.8,10.8,0.2,0.2,0.4,.155,-1.9,0.1,-1.8,0.0
Wayne Cooper,POR,35,35,344,10.2,.443,.000,.134,12.1,20.0,16.0,7.9,0.6,4.9,14.7,12.1,0.1,0.6,0.7,.096,-3.6,2.9,-0.7,0.1
Tom Copa,SAS,27,33,132,10.7,.525,.000,.325,11.7,18.0,14.9,3.3,0.8,2.8,14.9,17.2,0.0,0.2,0.2,.078,-3.7,-0.9,-4.5,-0.1
Lanard Copeland,LAC,26,10,48,4.0,.335,.087,.087,2.3,14.0,8.1,14.9,2.1,0.0,14.3,24.7,-0.2,0.1,-0.1,-0.116,-8.6,-1.3,-9.9,-0.1
Tyrone Corbin,TOT,29,80,2207,13.6,.543,.006,.319,8.6,15.2,12.0,8.9,1.9,0.6,11.9,15.9,2.9,2.7,5.6,.122,0.2,1.2,1.4,1.9
Chris Corchiani,ORL,23,51,741,12.1,.534,.192,.539,2.6,9.3,5.9,26.7,3.0,0.2,23.7,17.5,0.2,0.6,0.9,.056,-1.8,-0.6,-2.3,-0.1
Corey Crowder,UTA,22,51,328,8.4,.475,.268,.161,5.8,8.2,7.1,7.2,1.1,0.4,9.8,17.5,0.1,0.3,0.4,.053,-2.1,-1.8,-3.9,-0.2
Terry Cummings,SAS,30,70,2149,18.5,.520,.012,.236,12.7,19.3,16.0,7.7,1.3,1.0,9.0,25.1,3.2,3.2,6.5,.145,0.8,-0.7,0.1,1.1
Dell Curry,CHH,27,77,2020,16.4,.547,.176,.146,3.0,10.9,6.9,13.2,2.2,0.6,10.8,24.8,1.9,1.3,3.2,.077,1.1,-1.6,-0.5,0.8
Quintin Dailey,SEA,31,11,98,3.2,.352,.027,.432,2.3,12.0,7.1,5.4,2.6,0.6,18.5,23.2,-0.3,0.1,-0.3,-0.124,-9.5,-1.6,-11.0,-0.2
Brad Daugherty,CLE,26,73,2643,23.0,.629,.002,.528,8.4,23.1,16.0,15.3,1.2,1.7,12.9,23.6,8.2,3.5,11.7,.213,3.9,1.1,5.0,4.7
Brad Davis,DAL,36,33,429,7.2,.497,.209,.174,1.0,7.4,4.1,21.9,1.3,0.4,22.6,12.0,-0.1,0.2,0.1,.012,-4.1,-1.8,-5.9,-0.4
Dale Davis,IND,22,64,1301,13.3,.571,.004,.545,14.2,20.3,17.4,3.0,1.0,3.4,12.4,12.7,1.9,1.5,3.4,.126,-1.1,0.3,-0.8,0.4
Terry Davis,DAL,24,68,2149,12.4,.528,.009,.537,11.0,22.7,16.6,4.0,0.6,0.8,15.1,15.5,1.3,1.8,3.1,.069,-2.4,-0.4,-2.9,-0.5
Walter Davis,DEN,37,46,741,16.6,.514,.040,.233,2.8,7.7,5.1,16.0,1.9,0.1,9.2,26.8,1.0,0.5,1.5,.095,-0.1,-3.0,-3.1,-0.2
Johnny Dawkins,PHI,28,82,2815,13.3,.502,.112,.206,1.7,7.5,4.6,30.2,1.6,0.1,15.7,18.2,2.3,1.2,3.6,.061,-0.3,-2.0,-2.3,-0.2
Bison Dele,ORL,22,48,905,17.1,.565,.000,.438,13.8,19.9,16.8,5.8,2.2,3.6,18.2,21.7,0.6,1.2,1.8,.097,-1.2,1.1,-0.1,0.4
Vlade Divac,LAL,23,36,979,15.9,.553,.060,.353,10.0,18.9,14.4,9.5,2.9,2.2,19.4,20.3,0.4,1.5,1.8,.090,-0.8,2.0,1.2,0.8
James Donaldson,TOT,34,58,1075,11.1,.504,.000,.351,9.5,19.5,14.4,4.5,0.4,2.8,14.5,13.3,0.4,0.9,1.4,.061,-3.7,0.6,-3.0,-0.3
Sherman Douglas,TOT,25,42,752,13.8,.513,.040,.423,2.0,7.0,4.6,31.3,1.7,0.7,18.5,21.0,0.4,0.6,1.0,.067,-1.2,-1.9,-3.1,-0.2
Greg Dreiling,IND,29,60,509,5.6,.559,.011,.460,5.1,15.2,10.4,6.2,1.0,1.9,22.9,11.2,0.0,0.4,0.5,.043,-4.3,0.2,-4.1,-0.3
Clyde Drexler*,POR,29,76,2751,23.6,.560,.229,.342,6.6,13.2,9.9,29.9,2.4,1.6,12.4,28.7,8.3,4.5,12.8,.223,6.6,1.7,8.4,7.2
Kevin Duckworth,POR,27,82,2222,10.5,.497,.004,.288,7.4,17.0,12.2,6.3,0.8,1.0,13.9,18.8,0.3,3.0,3.3,.071,-3.1,0.0,-3.1,-0.6
Chris Dudley,NJN,26,82,1902,13.2,.420,.000,.362,18.4,22.8,20.6,3.9,1.0,5.6,12.6,13.2,0.6,2.8,3.4,.085,-2.8,2.0,-0.8,0.6
Joe Dumars*,DET,28,82,3192,15.4,.538,.092,.362,2.9,3.7,3.3,18.9,1.2,0.2,11.3,23.6,5.7,2.5,8.2,.123,1.4,-1.4,0.0,1.6
Ledell Eackles,WSB,25,65,1463,15.3,.509,.046,.246,2.9,10.7,6.7,14.1,1.6,0.3,8.2,26.4,0.9,1.1,2.0,.065,-0.8,-2.4,-3.2,-0.5
Mark Eaton,UTA,35,81,2023,9.1,.478,.000,.363,8.8,18.2,13.7,2.5,0.9,6.2,17.7,7.2,0.4,3.5,3.8,.091,-3.1,4.7,1.7,1.9
Patrick Eddie,NYK,24,4,13,-8.8,.222,.000,.000,0.0,8.7,4.4,0.0,0.0,0.0,0.0,30.2,-0.1,0.0,-0.1,-0.267,-16.8,-8.1,-24.9,-0.1
