Cleveland Cavaliers,Detroit Pistons,-370,+299
Philadelphia 76ers,Milwaukee Bucks,+144,-167
Los Angeles Lakers,Dallas Mavericks,+192,-227
Houston Rockets,New Orleans Pelicans,-213,+181
San Antonio Spurs,Phoenix Suns,-3333,+1737
Indiana Pacers,Oklahoma City Thunder,-149,+127
Washington Wizards,Atlanta Hawks,-476,+369
Denver Nuggets,Sacramento Kings,-455,+353
Detroit Pistons,Charlotte Hornets,-385,+308
Boston Celtics,Cleveland Cavaliers,-588,+445
Milwaukee Bucks,Brooklyn Nets,-116,+100
Golden State Warriors,Minnesota Timberwolves,-5000,+2315
Los Angeles Clippers,Memphis Grizzlies,-500,+391
Portland Trail Blazers,Utah Jazz,-556,+422
Chicago Bulls,Philadelphia 76ers,-3333,+1473
Miami Heat,Toronto Raptors,-159,+137
Orlando Magic,New York Knicks,-769,+550
Los Angeles Lakers,Minnesota Timberwolves,-213,+179
Denver Nuggets,Dallas Mavericks,-119,+102
Utah Jazz,Memphis Grizzlies,+127,-147
Houston Rockets,San Antonio Spurs,+143,-164
New Orleans Pelicans,Phoenix Suns,-455,+351
Oklahoma City Thunder,Sacramento Kings,-1667,+938
Atlanta Hawks,Charlotte Hornets,-588,+434
Brooklyn Nets,Washington Wizards,-208,+175
Cleveland Cavaliers,Boston Celtics,-256,+217
Detroit Pistons,Indiana Pacers,+187,-222
New York Knicks,Milwaukee Bucks,+532,-769
Orlando Magic,Toronto Raptors,+184,-217
Golden State Warriors,Portland Trail Blazers,-625,+475
Miami Heat,Chicago Bulls,-122,+106
Portland Trail Blazers,Minnesota Timberwolves,-5000,+1861
Dallas Mavericks,Phoenix Suns,-417,+330
Denver Nuggets,Los Angeles Lakers,-556,+425
Utah Jazz,Sacramento Kings,-909,+613
San Antonio Spurs,Houston Rockets,-270,+229
Memphis Grizzlies,New Orleans Pelicans,-200,+171
Milwaukee Bucks,Cleveland Cavaliers,+231,-278
Brooklyn Nets,Atlanta Hawks,-185,+160
New York Knicks,Indiana Pacers,+600,-833
Orlando Magic,Chicago Bulls,+281,-345
Philadelphia 76ers,Washington Wizards,+172,-200
Charlotte Hornets,Toronto Raptors,+136,-156
Detroit Pistons,Boston Celtics,+106,-123
Los Angeles Clippers,Los Angeles Lakers,-5000,+1934
Sacramento Kings,Minnesota Timberwolves,-435,+341
New Orleans Pelicans,Golden State Warriors,+167,-196
Oklahoma City Thunder,San Antonio Spurs,+204,-244
Atlanta Hawks,Phoenix Suns,-294,+244
Miami Heat,Charlotte Hornets,-270,+227
Brooklyn Nets,Portland Trail Blazers,-256,+219
Los Angeles Lakers,Los Angeles Clippers,+933,-1429
Sacramento Kings,Utah Jazz,-118,+102
New York Knicks,Philadelphia 76ers,-108,-110
San Antonio Spurs,Golden State Warriors,-192,+166
Indiana Pacers,Miami Heat,-278,+231
Cleveland Cavaliers,Chicago Bulls,-400,+315
Oklahoma City Thunder,Houston Rockets,-101,-116
Phoenix Suns,Utah Jazz,-125,+106
Portland Trail Blazers,New Orleans Pelicans,-222,+187
Denver Nuggets,Los Angeles Clippers,+436,-556
Dallas Mavericks,Golden State Warriors,+231,-278
Milwaukee Bucks,Orlando Magic,-476,+374
Memphis Grizzlies,Washington Wizards,-370,+297
Atlanta Hawks,Brooklyn Nets,-588,+443
Detroit Pistons,Miami Heat,+159,-182
Toronto Raptors,Boston Celtics,-139,+120
Charlotte Hornets,Philadelphia 76ers,-278,+235
Los Angeles Lakers,Portland Trail Blazers,+501,-667
Sacramento Kings,New Orleans Pelicans,+229,-278
San Antonio Spurs,Denver Nuggets,-1429,+871
Chicago Bulls,Detroit Pistons,-526,+401
Memphis Grizzlies,Oklahoma City Thunder,-222,+189
Minnesota Timberwolves,Orlando Magic,+156,-179
Boston Celtics,Milwaukee Bucks,-213,+179
Brooklyn Nets,Toronto Raptors,-130,+110
Indiana Pacers,Charlotte Hornets,-200,+169
Washington Wizards,New York Knicks,-2000,+1082
Golden State Warriors,Phoenix Suns,-1250,+777
Dallas Mavericks,Houston Rockets,-139,+120
Cleveland Cavaliers,Miami Heat,-588,+455
Los Angeles Lakers,New Orleans Pelicans,+404,-526
Portland Trail Blazers,Los Angeles Clippers,-154,+133
Utah Jazz,Denver Nuggets,-208,+177
Houston Rockets,Sacramento Kings,-667,+491
Milwaukee Bucks,Chicago Bulls,+181,-213
Minnesota Timberwolves,Toronto Raptors,+444,-588
Oklahoma City Thunder,Dallas Mavericks,-147,+125
Boston Celtics,Indiana Pacers,-179,+154
New York Knicks,Brooklyn Nets,+400,-526
Orlando Magic,San Antonio Spurs,+455,-625
Washington Wizards,Philadelphia 76ers,-625,+455
Charlotte Hornets,Detroit Pistons,-222,+186
Los Angeles Clippers,Golden State Warriors,-154,+134
Miami Heat,San Antonio Spurs,+304,-370
Brooklyn Nets,Indiana Pacers,-104,-112
Detroit Pistons,Atlanta Hawks,+110,-128
Portland Trail Blazers,Phoenix Suns,-417,+336
Memphis Grizzlies,Sacramento Kings,-625,+467
Minnesota Timberwolves,Utah Jazz,+286,-345
Atlanta Hawks,Milwaukee Bucks,-435,+347
Toronto Raptors,Houston Rockets,-127,+108
Charlotte Hornets,Boston Celtics,-152,+131
Philadelphia 76ers,Los Angeles Lakers,-200,+170
Phoenix Suns,Oklahoma City Thunder,-133,+114
Indiana Pacers,Dallas Mavericks,-128,+110
San Antonio Spurs,Memphis Grizzlies,-370,+301
Boston Celtics,Los Angeles Clippers,+210,-250
Miami Heat,Detroit Pistons,-141,+121
Cleveland Cavaliers,Philadelphia 76ers,-5000,+1800
New Orleans Pelicans,Minnesota Timberwolves,-1111,+758
Brooklyn Nets,Los Angeles Lakers,-370,+299
Washington Wizards,Houston Rockets,+112,-132
Portland Trail Blazers,Denver Nuggets,-435,+346
Utah Jazz,Oklahoma City Thunder,+187,-227
Milwaukee Bucks,Golden State Warriors,+172,-200
Chicago Bulls,New York Knicks,-5000,+1836
Charlotte Hornets,Atlanta Hawks,-244,+204
Phoenix Suns,Portland Trail Blazers,+102,-119
Denver Nuggets,Utah Jazz,-132,+112
San Antonio Spurs,Dallas Mavericks,-417,+332
Houston Rockets,Minnesota Timberwolves,-1429,+927
Memphis Grizzlies,Golden State Warriors,+138,-159
New Orleans Pelicans,Sacramento Kings,-278,+231
Atlanta Hawks,Miami Heat,-385,+309
Brooklyn Nets,Cleveland Cavaliers,+354,-455
New York Knicks,Boston Celtics,+512,-714
Toronto Raptors,Los Angeles Lakers,-385,+307
Orlando Magic,Detroit Pistons,+121,-141
Philadelphia 76ers,Los Angeles Clippers,+663,-1000
Washington Wizards,Charlotte Hornets,-192,+164
Milwaukee Bucks,Indiana Pacers,-172,+150
Phoenix Suns,Sacramento Kings,-400,+317
San Antonio Spurs,Oklahoma City Thunder,-333,+276
Denver Nuggets,Philadelphia 76ers,-833,+583
Utah Jazz,Portland Trail Blazers,-123,+106
Memphis Grizzlies,Cleveland Cavaliers,-103,-112
Minnesota Timberwolves,Los Angeles Lakers,-118,+100
New Orleans Pelicans,Houston Rockets,-110,-106
