Miami Heat,Oklahoma City Thunder,-167,+143
Miami Heat,Oklahoma City Thunder,-149,+129
Miami Heat,Oklahoma City Thunder,-189,+161
Oklahoma City Thunder,Miami Heat,-217,+181
Oklahoma City Thunder,Miami Heat,-238,+197
Miami Heat,Boston Celtics,-455,+355
Boston Celtics,Miami Heat,+112,-133
Oklahoma City Thunder,San Antonio Spurs,-227,+187
Miami Heat,Boston Celtics,-417,+329
San Antonio Spurs,Oklahoma City Thunder,-227,+189
Boston Celtics,Miami Heat,+110,-130
Oklahoma City Thunder,San Antonio Spurs,-189,+161
Boston Celtics,Miami Heat,-143,+121
Oklahoma City Thunder,San Antonio Spurs,-208,+175
Miami Heat,Boston Celtics,-455,+347
San Antonio Spurs,Oklahoma City Thunder,-213,+175
Miami Heat,Boston Celtics,-476,+367
San Antonio Spurs,Oklahoma City Thunder,-250,+209
Boston Celtics,Philadelphia 76ers,-303,+252
Indiana Pacers,Miami Heat,+121,-141
Philadelphia 76ers,Boston Celtics,-116,-103
Miami Heat,Indiana Pacers,-357,+291
Oklahoma City Thunder,Los Angeles Lakers,-370,+297
Boston Celtics,Philadelphia 76ers,-244,+204
Los Angeles Clippers,San Antonio Spurs,+262,-345
Indiana Pacers,Miami Heat,+106,-128
Los Angeles Lakers,Oklahoma City Thunder,+110,-132
Los Angeles Clippers,San Antonio Spurs,+177,-213
Los Angeles Lakers,Oklahoma City Thunder,-149,+129
Philadelphia 76ers,Boston Celtics,-133,+114
San Antonio Spurs,Los Angeles Clippers,-909,+590
Indiana Pacers,Miami Heat,+114,-135
Oklahoma City Thunder,Los Angeles Lakers,-455,+357
Philadelphia 76ers,Boston Celtics,-135,+114
San Antonio Spurs,Los Angeles Clippers,-1000,+682
Miami Heat,Indiana Pacers,-333,+267
Oklahoma City Thunder,Los Angeles Lakers,-417,+330
Boston Celtics,Philadelphia 76ers,-208,+175
Miami Heat,Indiana Pacers,-476,+372
Memphis Grizzlies,Los Angeles Clippers,-400,+315
Los Angeles Lakers,Denver Nuggets,-286,+236
Boston Celtics,Philadelphia 76ers,-250,+208
Los Angeles Clippers,Memphis Grizzlies,+112,-133
Denver Nuggets,Los Angeles Lakers,-147,+125
Boston Celtics,Atlanta Hawks,-345,+280
Philadelphia 76ers,Chicago Bulls,-172,+148
Memphis Grizzlies,Los Angeles Clippers,-323,+260
Miami Heat,New York Knicks,-1429,+867
Los Angeles Lakers,Denver Nuggets,-270,+225
Chicago Bulls,Philadelphia 76ers,-222,+186
Atlanta Hawks,Boston Celtics,-128,+108
Indiana Pacers,Orlando Magic,-833,+546
Los Angeles Clippers,Memphis Grizzlies,-123,+104
Utah Jazz,San Antonio Spurs,+295,-370
Denver Nuggets,Los Angeles Lakers,-137,+118
Boston Celtics,Atlanta Hawks,-270,+220
New York Knicks,Miami Heat,+307,-385
Philadelphia 76ers,Chicago Bulls,-159,+137
Utah Jazz,San Antonio Spurs,+197,-238
Dallas Mavericks,Oklahoma City Thunder,+108,-130
Los Angeles Clippers,Memphis Grizzlies,-154,+131
Orlando Magic,Indiana Pacers,+177,-213
Denver Nuggets,Los Angeles Lakers,-172,+149
Philadelphia 76ers,Chicago Bulls,-105,-114
Boston Celtics,Atlanta Hawks,-455,+355
Dallas Mavericks,Oklahoma City Thunder,-167,+142
New York Knicks,Miami Heat,+195,-238
Memphis Grizzlies,Los Angeles Clippers,-323,+260
Orlando Magic,Indiana Pacers,+139,-161
San Antonio Spurs,Utah Jazz,-1250,+749
Los Angeles Lakers,Denver Nuggets,-244,+202
Chicago Bulls,Philadelphia 76ers,-286,+239
Atlanta Hawks,Boston Celtics,-200,+169
Oklahoma City Thunder,Dallas Mavericks,-294,+241
Indiana Pacers,Orlando Magic,-588,+429
Miami Heat,New York Knicks,-769,+505
Memphis Grizzlies,Los Angeles Clippers,-213,+179
Atlanta Hawks,Boston Celtics,-116,-103
Los Angeles Lakers,Denver Nuggets,-208,+175
San Antonio Spurs,Utah Jazz,-1250,+756
Oklahoma City Thunder,Dallas Mavericks,-417,+325
Indiana Pacers,Orlando Magic,-714,+483
Miami Heat,New York Knicks,-625,+444
Chicago Bulls,Philadelphia 76ers,-556,+415
Golden State Warriors,San Antonio Spurs,+212,-250
Sacramento Kings,Los Angeles Lakers,-278,+229
Atlanta Hawks,Dallas Mavericks,-213,+177
Boston Celtics,Milwaukee Bucks,-526,+407
Charlotte Hornets,New York Knicks,+188,-227
Chicago Bulls,Cleveland Cavaliers,-3333,+1240
Detroit Pistons,Philadelphia 76ers,-435,+340
Houston Rockets,New Orleans Pelicans,-227,+192
Memphis Grizzlies,Orlando Magic,-3333,+1388
Minnesota Timberwolves,Denver Nuggets,+299,-370
Utah Jazz,Portland Trail Blazers,-312,+260
Washington Wizards,Miami Heat,-303,+250
Toronto Raptors,Brooklyn Nets,-323,+261
Phoenix Suns,San Antonio Spurs,-145,+125
Milwaukee Bucks,Philadelphia 76ers,-333,+279
Oklahoma City Thunder,Denver Nuggets,+106,-127
New York Knicks,Los Angeles Clippers,-208,+174
Cleveland Cavaliers,Washington Wizards,+122,-141
Indiana Pacers,Chicago Bulls,+123,-143
Orlando Magic,Charlotte Hornets,-2500,+1205
Golden State Warriors,New Orleans Pelicans,+125,-147
Utah Jazz,Phoenix Suns,-208,+175
Boston Celtics,Miami Heat,-294,+241
Oklahoma City Thunder,Sacramento Kings,-588,+436
Atlanta Hawks,Los Angeles Clippers,-116,-103
San Antonio Spurs,Portland Trail Blazers,-2000,+1179
Memphis Grizzlies,Cleveland Cavaliers,-1429,+886
Milwaukee Bucks,Toronto Raptors,-625,+466
Brooklyn Nets,Philadelphia 76ers,+401,-526
Indiana Pacers,Detroit Pistons,-333,+269
Washington Wizards,Charlotte Hornets,-667,+466
Los Angeles Clippers,New Orleans Pelicans,-625,+462
Denver Nuggets,Orlando Magic,-833,+557
Minnesota Timberwolves,Golden State Warriors,-500,+391
San Antonio Spurs,Cleveland Cavaliers,-3333,+1546
Charlotte Hornets,Sacramento Kings,+152,-179
Detroit Pistons,Toronto Raptors,-182,+154
Miami Heat,Houston Rockets,-217,+183
Los Angeles Lakers,Oklahoma City Thunder,-101,-118
Atlanta Hawks,New York Knicks,-143,+122
Utah Jazz,Orlando Magic,-526,+409
Milwaukee Bucks,Brooklyn Nets,-588,+434
Chicago Bulls,Dallas Mavericks,-370,+300
Houston Rockets,Golden State Warriors,-2500,+1232
Memphis Grizzlies,Portland Trail Blazers,-1111,+709
Miami Heat,Washington Wizards,-556,+423
Indiana Pacers,Philadelphia 76ers,-185,+156
Phoenix Suns,Denver Nuggets,-182,+154
Sacramento Kings,Oklahoma City Thunder,+470,-667
San Antonio Spurs,Los Angeles Lakers,-263,+220
Dallas Mavericks,Golden State Warriors,-1429,+821
Cleveland Cavaliers,New York Knicks,+458,-625
Atlanta Hawks,Boston Celtics,-667,+471
Charlotte Hornets,Memphis Grizzlies,+1171,-2000
Phoenix Suns,Los Angeles Clippers,-132,+112
Miami Heat,Chicago Bulls,-270,+224
New Orleans Pelicans,Houston Rockets,+190,-227
Detroit Pistons,Minnesota Timberwolves,-213,+177
Indiana Pacers,Milwaukee Bucks,-244,+200
Golden State Warriors,Los Angeles Lakers,+245,-294
Phoenix Suns,Oklahoma City Thunder,+145,-167
Portland Trail Blazers,Utah Jazz,+170,-200
Sacramento Kings,San Antonio Spurs,+175,-204
Denver Nuggets,Los Angeles Clippers,-149,+127
Dallas Mavericks,Houston Rockets,-192,+163
Boston Celtics,Orlando Magic,-200,+172
Memphis Grizzlies,New Orleans Pelicans,-556,+416
Atlanta Hawks,Detroit Pistons,-500,+378
Brooklyn Nets,New York Knicks,+326,-417
Miami Heat,Toronto Raptors,-667,+476
Charlotte Hornets,Chicago Bulls,+903,-1429
Cleveland Cavaliers,Philadelphia 76ers,+395,-526
Washington Wizards,Milwaukee Bucks,+300,-370
Los Angeles Lakers,San Antonio Spurs,+125,-145
Minnesota Timberwolves,Memphis Grizzlies,+363,-476
New York Knicks,Boston Celtics,-159,+135
Detroit Pistons,Cleveland Cavaliers,-323,+262
Philadelphia 76ers,Indiana Pacers,-152,+131
Golden State Warriors,San Antonio Spurs,+441,-588
Los Angeles Clippers,Oklahoma City Thunder,+131,-152
Phoenix Suns,Portland Trail Blazers,-833,+569
Utah Jazz,Dallas Mavericks,-169,+147
Chicago Bulls,Washington Wizards,-1250,+750
Houston Rockets,Denver Nuggets,-189,+160
Brooklyn Nets,Miami Heat,+363,-476
Charlotte Hornets,New Orleans Pelicans,+219,-263
Indiana Pacers,Minnesota Timberwolves,-833,+537
Orlando Magic,Philadelphia 76ers,+200,-244
Toronto Raptors,Atlanta Hawks,+202,-244
Denver Nuggets,Houston Rockets,-164,+141
New Orleans Pelicans,Memphis Grizzlies,+168,-200
Atlanta Hawks,Toronto Raptors,-588,+426
Charlotte Hornets,Boston Celtics,+231,-278
Cleveland Cavaliers,Orlando Magic,+225,-278
Detroit Pistons,Chicago Bulls,+405,-526
Sacramento Kings,Portland Trail Blazers,-145,+125
Los Angeles Lakers,Dallas Mavericks,-130,+110
New York Knicks,Miami Heat,+127,-149
San Antonio Spurs,Phoenix Suns,-500,+378
Milwaukee Bucks,Indiana Pacers,-154,+131
Memphis Grizzlies,Utah Jazz,-500,+376
Minnesota Timberwolves,Oklahoma City Thunder,+620,-909
Brooklyn Nets,Boston Celtics,+250,-312
Washington Wizards,Cleveland Cavaliers,-222,+183
Los Angeles Clippers,Golden State Warriors,-1250,+839
Los Angeles Lakers,Denver Nuggets,-167,+141
