Cleveland Cavaliers,Golden State Warriors,143,-164
Cleveland Cavaliers,Golden State Warriors,127,-147
Golden State Warriors,Cleveland Cavaliers,-556,436
Golden State Warriors,Cleveland Cavaliers,-833,626
Houston Rockets,Golden State Warriors,234,-270
Boston Celtics,Cleveland Cavaliers,-143,125
Golden State Warriors,Houston Rockets,-909,687
Cleveland Cavaliers,Boston Celtics,-323,274
Houston Rockets,Golden State Warriors,-103,-110
Boston Celtics,Cleveland Cavaliers,-119,104
Golden State Warriors,Houston Rockets,-400,337
Cleveland Cavaliers,Boston Celtics,-312,268
Golden State Warriors,Houston Rockets,-357,293
Cleveland Cavaliers,Boston Celtics,-286,246
Houston Rockets,Golden State Warriors,-123,108
Boston Celtics,Cleveland Cavaliers,-108,-106
Houston Rockets,Golden State Warriors,-127,112
Boston Celtics,Cleveland Cavaliers,-101,-112
Boston Celtics,Philadelphia 76ers,-120,106
Golden State Warriors,New Orleans Pelicans,-909,642
Houston Rockets,Utah Jazz,-909,660
Cleveland Cavaliers,Toronto Raptors,-208,179
Philadelphia 76ers,Boston Celtics,-323,271
Utah Jazz,Houston Rockets,224,-263
New Orleans Pelicans,Golden State Warriors,215,-256
Cleveland Cavaliers,Toronto Raptors,-189,165
Philadelphia 76ers,Boston Celtics,-476,390
Utah Jazz,Houston Rockets,170,-196
New Orleans Pelicans,Golden State Warriors,185,-217
Boston Celtics,Philadelphia 76ers,150,-169
Toronto Raptors,Cleveland Cavaliers,-286,243
Houston Rockets,Utah Jazz,-833,635
Golden State Warriors,New Orleans Pelicans,-769,572
Toronto Raptors,Cleveland Cavaliers,-278,235
Boston Celtics,Philadelphia 76ers,175,-204
Houston Rockets,Utah Jazz,-909,656
Cleveland Cavaliers,Indiana Pacers,-250,211
Golden State Warriors,New Orleans Pelicans,-333,281
Boston Celtics,Milwaukee Bucks,-200,174
Utah Jazz,Oklahoma City Thunder,-286,241
Indiana Pacers,Cleveland Cavaliers,-125,108
Washington Wizards,Toronto Raptors,112,-128
Milwaukee Bucks,Boston Celtics,-200,172
Houston Rockets,Minnesota Timberwolves,-1000,734
Oklahoma City Thunder,Utah Jazz,-145,125
Cleveland Cavaliers,Indiana Pacers,-294,246
Toronto Raptors,Washington Wizards,-303,257
Golden State Warriors,San Antonio Spurs,-833,612
Philadelphia 76ers,Miami Heat,-625,480
Boston Celtics,Milwaukee Bucks,-192,167
Utah Jazz,Oklahoma City Thunder,-204,175
Minnesota Timberwolves,Houston Rockets,209,-244
Indiana Pacers,Cleveland Cavaliers,104,-120
Washington Wizards,Toronto Raptors,104,-119
San Antonio Spurs,Golden State Warriors,239,-286
Milwaukee Bucks,Boston Celtics,-233,198
Utah Jazz,Oklahoma City Thunder,-213,185
Minnesota Timberwolves,Houston Rockets,209,-244
New Orleans Pelicans,Portland Trail Blazers,-270,231
Miami Heat,Philadelphia 76ers,150,-169
Milwaukee Bucks,Boston Celtics,-213,185
Washington Wizards,Toronto Raptors,-111,-102
Indiana Pacers,Cleveland Cavaliers,-120,106
San Antonio Spurs,Golden State Warriors,143,-161
New Orleans Pelicans,Portland Trail Blazers,-161,143
Miami Heat,Philadelphia 76ers,124,-141
Houston Rockets,Minnesota Timberwolves,-714,553
Oklahoma City Thunder,Utah Jazz,-169,148
Cleveland Cavaliers,Indiana Pacers,-417,341
Portland Trail Blazers,New Orleans Pelicans,-278,235
Boston Celtics,Milwaukee Bucks,-114,-101
Toronto Raptors,Washington Wizards,-303,252
Golden State Warriors,San Antonio Spurs,-588,458
Philadelphia 76ers,Miami Heat,-294,249
Houston Rockets,Minnesota Timberwolves,-1000,740
Oklahoma City Thunder,Utah Jazz,-196,170
Cleveland Cavaliers,Indiana Pacers,-357,293
Boston Celtics,Milwaukee Bucks,-169,149
Portland Trail Blazers,New Orleans Pelicans,-233,199
Philadelphia 76ers,Miami Heat,-244,210
Toronto Raptors,Washington Wizards,-370,309
Golden State Warriors,San Antonio Spurs,-400,332
Los Angeles Clippers,Los Angeles Lakers,-137,119
Portland Trail Blazers,Utah Jazz,-132,116
Sacramento Kings,Houston Rockets,-125,110
Boston Celtics,Brooklyn Nets,154,-179
Chicago Bulls,Detroit Pistons,174,-200
Cleveland Cavaliers,New York Knicks,-385,311
Miami Heat,Toronto Raptors,-143,124
Minnesota Timberwolves,Denver Nuggets,-164,145
New Orleans Pelicans,San Antonio Spurs,-156,137
Oklahoma City Thunder,Memphis Grizzlies,-3333,1598
Orlando Magic,Washington Wizards,219,-256
Philadelphia 76ers,Milwaukee Bucks,-263,224
Los Angeles Lakers,Houston Rockets,308,-370
Utah Jazz,Golden State Warriors,-345,284
Dallas Mavericks,Phoenix Suns,-141,123
Washington Wizards,Boston Celtics,-323,272
Atlanta Hawks,Philadelphia 76ers,461,-588
Indiana Pacers,Charlotte Hornets,-127,112
Los Angeles Clippers,New Orleans Pelicans,368,-455
Denver Nuggets,Portland Trail Blazers,-192,167
San Antonio Spurs,Sacramento Kings,-1667,989
Milwaukee Bucks,Orlando Magic,-588,445
Minnesota Timberwolves,Memphis Grizzlies,-2500,1262
Brooklyn Nets,Chicago Bulls,-294,249
Miami Heat,Oklahoma City Thunder,166,-192
New York Knicks,Cleveland Cavaliers,693,-1000
Detroit Pistons,Toronto Raptors,206,-244
Phoenix Suns,Golden State Warriors,600,-833
Los Angeles Lakers,Utah Jazz,408,-526
Toronto Raptors,Orlando Magic,-714,545
Memphis Grizzlies,Detroit Pistons,214,-250
Boston Celtics,Atlanta Hawks,-526,418
Charlotte Hornets,Indiana Pacers,100,-115
Philadelphia 76ers,Dallas Mavericks,-1429,874
San Antonio Spurs,Portland Trail Blazers,-213,184
Golden State Warriors,New Orleans Pelicans,-263,222
Houston Rockets,Oklahoma City Thunder,-208,179
Chicago Bulls,Brooklyn Nets,209,-244
New York Knicks,Milwaukee Bucks,323,-400
Los Angeles Clippers,Denver Nuggets,136,-156
Los Angeles Lakers,Minnesota Timberwolves,181,-213
Phoenix Suns,New Orleans Pelicans,690,-1000
Memphis Grizzlies,Sacramento Kings,148,-169
Boston Celtics,Chicago Bulls,-286,242
New York Knicks,Miami Heat,357,-435
Toronto Raptors,Indiana Pacers,-333,281
Detroit Pistons,Dallas Mavericks,-294,248
Orlando Magic,Charlotte Hornets,262,-312
Philadelphia 76ers,Cleveland Cavaliers,-161,140
Washington Wizards,Atlanta Hawks,-667,523
Denver Nuggets,Minnesota Timberwolves,-192,165
Utah Jazz,Los Angeles Clippers,-333,276
Cleveland Cavaliers,Washington Wizards,-238,202
Houston Rockets,Portland Trail Blazers,-714,535
Milwaukee Bucks,Brooklyn Nets,-500,387
Indiana Pacers,Golden State Warriors,124,-141
Los Angeles Lakers,San Antonio Spurs,225,-263
New Orleans Pelicans,Memphis Grizzlies,-1429,886
Toronto Raptors,Boston Celtics,-323,271
Atlanta Hawks,Miami Heat,250,-294
Detroit Pistons,Philadelphia 76ers,112,-127
Orlando Magic,Dallas Mavericks,-130,114
Los Angeles Clippers,San Antonio Spurs,108,-125
Phoenix Suns,Sacramento Kings,123,-141
Denver Nuggets,Indiana Pacers,-185,163
Utah Jazz,Los Angeles Lakers,-833,603
Dallas Mavericks,Portland Trail Blazers,269,-323
Milwaukee Bucks,Boston Celtics,-185,162
Chicago Bulls,Charlotte Hornets,187,-217
Houston Rockets,Washington Wizards,-400,325
Oklahoma City Thunder,Golden State Warriors,-175,154
Miami Heat,Atlanta Hawks,-1250,819
New York Knicks,Orlando Magic,-114,-102
Cleveland Cavaliers,Toronto Raptors,-122,106
Philadelphia 76ers,Brooklyn Nets,-417,334
Los Angeles Lakers,Sacramento Kings,-323,273
Portland Trail Blazers,Memphis Grizzlies,-2000,1185
Golden State Warriors,Phoenix Suns,-2000,1165
Denver Nuggets,Milwaukee Bucks,-217,189
Minnesota Timberwolves,Utah Jazz,125,-143
Atlanta Hawks,Orlando Magic,-120,104
Brooklyn Nets,Detroit Pistons,-106,-108
Cleveland Cavaliers,Dallas Mavericks,-667,522
New Orleans Pelicans,Oklahoma City Thunder,-102,-112
Chicago Bulls,Washington Wizards,279,-333
Los Angeles Clippers,Indiana Pacers,-149,129
San Antonio Spurs,Houston Rockets,-104,-110
Charlotte Hornets,Philadelphia 76ers,127,-145
Sacramento Kings,Golden State Warriors,345,-435
Miami Heat,Brooklyn Nets,-400,328
Boston Celtics,Toronto Raptors,169,-196
New York Knicks,Detroit Pistons,169,-196
Washington Wizards,Charlotte Hornets,-256,219
Los Angeles Lakers,Milwaukee Bucks,-104,-110
Portland Trail Blazers,Los Angeles Clippers,-256,216
Utah Jazz,Memphis Grizzlies,-2500,1272
Dallas Mavericks,Minnesota Timberwolves,213,-250
Cleveland Cavaliers,New Orleans Pelicans,-204,175
Houston Rockets,Phoenix Suns,-5000,1801
Oklahoma City Thunder,Denver Nuggets,-172,152
Atlanta Hawks,Philadelphia 76ers,301,-370
Orlando Magic,Chicago Bulls,-263,223
Golden State Warriors,Milwaukee Bucks,-179,156
Sacramento Kings,Indiana Pacers,309,-370
San Antonio Spurs,Oklahoma City Thunder,-119,102
Miami Heat,Chicago Bulls,-1429,864
