Detroit Pistons,Chicago Bulls,-182,+154
Indiana Pacers,Cleveland Cavaliers,+161,-192
Washington Wizards,Toronto Raptors,-147,+123
Los Angeles Lakers,Memphis Grizzlies,-909,+596
Sacramento Kings,San Antonio Spurs,+366,-455
Miami Heat,New York Knicks,-286,+241
Toronto Raptors,Philadelphia 76ers,+110,-128
Cleveland Cavaliers,Boston Celtics,-385,+315
New Orleans Pelicans,Dallas Mavericks,-179,+152
Los Angeles Clippers,Portland Trail Blazers,+225,-278
Utah Jazz,Golden State Warriors,-5000,+1375
Chicago Bulls,Charlotte Hornets,-556,+420
Milwaukee Bucks,Oklahoma City Thunder,-303,+242
Minnesota Timberwolves,Phoenix Suns,+110,-130
Brooklyn Nets,Orlando Magic,+246,-294
Indiana Pacers,Detroit Pistons,-133,+112
Golden State Warriors,Houston Rockets,+238,-286
Los Angeles Clippers,Sacramento Kings,-185,+156
Portland Trail Blazers,Los Angeles Lakers,-120,-102
Dallas Mavericks,New Orleans Pelicans,-323,+281
San Antonio Spurs,Utah Jazz,-128,+108
Detroit Pistons,Brooklyn Nets,-357,+296
Memphis Grizzlies,Phoenix Suns,+114,-137
Oklahoma City Thunder,Charlotte Hornets,+136,-161
Orlando Magic,New York Knicks,-833,+527
Toronto Raptors,Washington Wizards,-294,+247
Atlanta Hawks,Indiana Pacers,-233,+192
Boston Celtics,Miami Heat,-263,+212
Philadelphia 76ers,Cleveland Cavaliers,+246,-303
Los Angeles Lakers,Denver Nuggets,-476,+363
Sacramento Kings,Houston Rockets,+575,-833
Chicago Bulls,Philadelphia 76ers,-263,+213
Golden State Warriors,Minnesota Timberwolves,-270,+231
Dallas Mavericks,Utah Jazz,-156,+134
Denver Nuggets,Oklahoma City Thunder,-1667,+878
Milwaukee Bucks,Atlanta Hawks,-102,-119
New Orleans Pelicans,Phoenix Suns,-149,+127
Boston Celtics,Brooklyn Nets,-625,+442
New York Knicks,Detroit Pistons,+146,-167
Cleveland Cavaliers,Washington Wizards,-3333,+1325
Indiana Pacers,Toronto Raptors,-312,+266
Orlando Magic,Memphis Grizzlies,-2500,+1325
San Antonio Spurs,Portland Trail Blazers,-147,+123
Los Angeles Clippers,Minnesota Timberwolves,-132,+112
Sacramento Kings,Los Angeles Lakers,+708,-909
Chicago Bulls,New York Knicks,-385,+301
Houston Rockets,Orlando Magic,-119,-103
Memphis Grizzlies,Portland Trail Blazers,+266,-333
Oklahoma City Thunder,San Antonio Spurs,+215,-270
Miami Heat,New Orleans Pelicans,-185,+161
Charlotte Hornets,Philadelphia 76ers,-204,+170
Toronto Raptors,Atlanta Hawks,+102,-125
Los Angeles Lakers,Los Angeles Clippers,-5000,+1325
Sacramento Kings,Golden State Warriors,-139,+119
Brooklyn Nets,Philadelphia 76ers,+120,-145
Houston Rockets,Portland Trail Blazers,-167,+144
Minnesota Timberwolves,Denver Nuggets,+258,-333
New Orleans Pelicans,Utah Jazz,-139,+114
Oklahoma City Thunder,Indiana Pacers,-133,+110
Detroit Pistons,Charlotte Hornets,-141,+119
Toronto Raptors,New York Knicks,-233,+194
Dallas Mavericks,Phoenix Suns,-164,+135
Cleveland Cavaliers,San Antonio Spurs,-238,+206
Denver Nuggets,Los Angeles Clippers,-2500,+1200
Milwaukee Bucks,Memphis Grizzlies,-323,+252
Atlanta Hawks,Orlando Magic,+102,-123
Washington Wizards,Miami Heat,+108,-125
Philadelphia 76ers,Detroit Pistons,-164,+138
Chicago Bulls,Brooklyn Nets,-345,+291
New York Knicks,Toronto Raptors,-149,+125
Golden State Warriors,New Orleans Pelicans,+158,-185
Los Angeles Lakers,Houston Rockets,-227,+197
Phoenix Suns,Sacramento Kings,-1667,+1013
Utah Jazz,Minnesota Timberwolves,-1667,+960
Memphis Grizzlies,Dallas Mavericks,+258,-323
Oklahoma City Thunder,Portland Trail Blazers,+177,-208
Orlando Magic,Cleveland Cavaliers,-167,+144
Boston Celtics,Atlanta Hawks,-217,+188
Charlotte Hornets,Miami Heat,-200,+167
Indiana Pacers,San Antonio Spurs,+159,-185
Denver Nuggets,Utah Jazz,-208,+167
Washington Wizards,Cleveland Cavaliers,+453,-667
Philadelphia 76ers,Milwaukee Bucks,-357,+273
Golden State Warriors,Sacramento Kings,-417,+313
Los Angeles Clippers,New Orleans Pelicans,+144,-169
Phoenix Suns,Houston Rockets,-127,+104
Dallas Mavericks,Miami Heat,-227,+189
Memphis Grizzlies,Washington Wizards,-152,+125
Milwaukee Bucks,Los Angeles Lakers,+249,-303
Boston Celtics,Charlotte Hornets,-455,+370
Brooklyn Nets,Detroit Pistons,-119,-102
Orlando Magic,Toronto Raptors,-667,+455
Portland Trail Blazers,Utah Jazz,-263,+213
Sacramento Kings,New Orleans Pelicans,+229,-278
Denver Nuggets,New York Knicks,-1250,+731
San Antonio Spurs,Oklahoma City Thunder,-1250,+695
Minnesota Timberwolves,Dallas Mavericks,+311,-385
Charlotte Hornets,Los Angeles Lakers,+197,-244
Cleveland Cavaliers,Detroit Pistons,-556,+412
Indiana Pacers,Chicago Bulls,-135,+114
Philadelphia 76ers,Atlanta Hawks,-135,+116
Golden State Warriors,Memphis Grizzlies,-227,+187
Utah Jazz,New York Knicks,-909,+602
Brooklyn Nets,Milwaukee Bucks,-175,+149
Miami Heat,Orlando Magic,+120,-141
Sacramento Kings,Phoenix Suns,+206,-256
New Orleans Pelicans,San Antonio Spurs,+102,-123
Boston Celtics,Oklahoma City Thunder,-833,+559
Indiana Pacers,Washington Wizards,-526,+394
Detroit Pistons,Philadelphia 76ers,-132,+112
Atlanta Hawks,Los Angeles Lakers,+146,-172
Minnesota Timberwolves,Brooklyn Nets,+140,-169
Toronto Raptors,Chicago Bulls,-128,+108
Cleveland Cavaliers,Dallas Mavericks,-526,+390
Portland Trail Blazers,Memphis Grizzlies,-1429,+890
Houston Rockets,Los Angeles Clippers,-5000,+1300
Denver Nuggets,Golden State Warriors,-1667,+875
Utah Jazz,Phoenix Suns,-526,+379
Miami Heat,Milwaukee Bucks,-526,+378
Charlotte Hornets,New York Knicks,-312,+248
Washington Wizards,Detroit Pistons,+169,-200
Chicago Bulls,Indiana Pacers,-455,+358
Sacramento Kings,Memphis Grizzlies,-156,+129
Dallas Mavericks,Denver Nuggets,-179,+156
San Antonio Spurs,Los Angeles Clippers,-1000,+620
Atlanta Hawks,Boston Celtics,-104,-115
Brooklyn Nets,Los Angeles Lakers,+271,-333
Cleveland Cavaliers,Minnesota Timberwolves,-3333,+1542
New York Knicks,New Orleans Pelicans,+168,-200
Orlando Magic,Milwaukee Bucks,-1250,+732
Philadelphia 76ers,Charlotte Hornets,-222,+197
Toronto Raptors,Oklahoma City Thunder,-233,+200
Portland Trail Blazers,Phoenix Suns,-278,+229
Chicago Bulls,Miami Heat,-244,+200
Detroit Pistons,Los Angeles Lakers,+308,-400
Phoenix Suns,Utah Jazz,-156,+134
Dallas Mavericks,Golden State Warriors,-625,+443
New Orleans Pelicans,Denver Nuggets,-192,+160
Orlando Magic,Boston Celtics,-164,+140
New York Knicks,Los Angeles Clippers,-286,+229
Atlanta Hawks,San Antonio Spurs,-270,+227
Cleveland Cavaliers,Brooklyn Nets,-1250,+832
Indiana Pacers,Miami Heat,-104,-116
Philadelphia 76ers,Minnesota Timberwolves,-667,+500
Toronto Raptors,Milwaukee Bucks,-185,+161
Washington Wizards,Charlotte Hornets,+248,-303
Utah Jazz,Houston Rockets,-250,+213
San Antonio Spurs,Golden State Warriors,-476,+409
Chicago Bulls,Detroit Pistons,-217,+188
