Miami Heat,Dallas Mavericks,-238,+196
Dallas Mavericks,Miami Heat,-112,-109
Dallas Mavericks,Miami Heat,-143,+121
Dallas Mavericks,Miami Heat,-133,+112
Miami Heat,Dallas Mavericks,-208,+173
Miami Heat,Dallas Mavericks,-208,+174
Chicago Bulls,Miami Heat,-164,+139
Dallas Mavericks,Oklahoma City Thunder,-312,+250
Miami Heat,Chicago Bulls,-233,+190
Oklahoma City Thunder,Dallas Mavericks,-175,+152
Miami Heat,Chicago Bulls,-227,+185
Oklahoma City Thunder,Dallas Mavericks,-143,+122
Dallas Mavericks,Oklahoma City Thunder,-250,+206
Chicago Bulls,Miami Heat,-143,+121
Dallas Mavericks,Oklahoma City Thunder,-278,+231
Chicago Bulls,Miami Heat,-132,+112
Oklahoma City Thunder,Memphis Grizzlies,-312,+257
Memphis Grizzlies,Oklahoma City Thunder,-120,+100
Atlanta Hawks,Chicago Bulls,+138,-161
Oklahoma City Thunder,Memphis Grizzlies,-270,+225
Miami Heat,Boston Celtics,-357,+288
Chicago Bulls,Atlanta Hawks,-476,+368
Memphis Grizzlies,Oklahoma City Thunder,-132,+112
Boston Celtics,Miami Heat,-103,-116
Atlanta Hawks,Chicago Bulls,+145,-169
Dallas Mavericks,Los Angeles Lakers,-127,+106
Boston Celtics,Miami Heat,-161,+138
Memphis Grizzlies,Oklahoma City Thunder,-149,+125
Dallas Mavericks,Los Angeles Lakers,-130,+108
Atlanta Hawks,Chicago Bulls,+117,-137
Los Angeles Lakers,Dallas Mavericks,-370,+298
Chicago Bulls,Atlanta Hawks,-526,+401
Oklahoma City Thunder,Memphis Grizzlies,-323,+261
Miami Heat,Boston Celtics,-222,+184
Los Angeles Lakers,Dallas Mavericks,-278,+229
Chicago Bulls,Atlanta Hawks,-588,+430
Miami Heat,Boston Celtics,-222,+183
Oklahoma City Thunder,Memphis Grizzlies,-294,+239
Memphis Grizzlies,San Antonio Spurs,-154,+133
Portland Trail Blazers,Dallas Mavericks,-179,+154
New Orleans Pelicans,Los Angeles Lakers,+208,-250
Atlanta Hawks,Orlando Magic,+106,-127
Oklahoma City Thunder,Denver Nuggets,-323,+260
San Antonio Spurs,Memphis Grizzlies,-333,+275
Miami Heat,Philadelphia 76ers,-1111,+706
Los Angeles Lakers,New Orleans Pelicans,-714,+491
Chicago Bulls,Indiana Pacers,-588,+430
Orlando Magic,Atlanta Hawks,-357,+283
Denver Nuggets,Oklahoma City Thunder,-152,+129
Dallas Mavericks,Portland Trail Blazers,-222,+185
