Alaa Abdelnaby POR 22 43 290 13.1 .499 .000 .379 10.4 23.4 17.0 5.8 0.7 2.5 14.0 22.1  0.0 0.5 0.5 .079  -4.2 -0.7 -5.0 -0.2 
Mahmoud Abdul-Rauf DEN 21 67 1505 12.2 .448 .099 .097 1.9 6.0 3.8 19.2 1.5 0.1 9.5 27.2  -0.7 -0.3 -1.0 -0.031  -1.7 -4.4 -6.1 -1.6 
Mark Acres ORL 28 68 1313 9.2 .551 .014 .472 11.3 18.7 14.9 2.5 0.9 1.1 14.0 9.3  1.4 1.1 2.5 .090  -2.1 0.3 -1.8 0.1 
Michael Adams DEN 28 66 2346 22.3 .530 .397 .372 2.1 8.8 5.2 39.4 2.6 0.1 12.7 28.5  5.8 0.4 6.3 .128  7.1 -2.7 4.4 3.8 
Mark Aguirre DET 31 78 2006 16.7 .526 .086 .349 7.6 13.7 10.7 11.6 1.2 0.6 10.9 25.7  2.8 2.7 5.5 .132  0.9 -0.3 0.7 1.4 
Danny Ainge POR 31 80 1710 17.0 .574 .352 .193 2.9 10.2 6.6 23.8 1.8 0.5 11.4 20.8  4.1 2.1 6.2 .175  3.4 -0.6 2.8 2.1 
Mark Alarie WSB 27 42 587 11.3 .496 .093 .213 7.6 14.2 10.9 11.2 1.3 0.8 14.0 20.3  0.1 0.6 0.6 .050  -2.4 -1.1 -3.6 -0.2 
Steve Alford DAL 26 34 236 20.5 .578 .197 .265 4.8 6.8 5.8 16.4 1.7 0.3 10.9 27.5  0.5 0.1 0.6 .121  2.4 -3.8 -1.4 0.0 
Greg Anderson TOT 26 68 924 9.1 .455 .004 .426 10.0 25.9 17.3 2.1 1.7 2.7 20.8 16.3  -1.2 0.9 -0.3 -0.017  -6.8 -0.8 -7.5 -1.3 
Nick Anderson ORL 23 70 1971 15.1 .510 .068 .302 4.9 16.7 10.7 8.5 1.8 1.3 10.4 22.4  1.2 1.9 3.1 .075  -1.1 0.1 -1.0 0.5 
Ron Anderson PHI 32 82 2340 15.5 .524 .041 .188 5.0 12.4 8.8 8.2 1.4 0.3 8.1 23.2  2.3 1.8 4.1 .085  -0.5 -1.8 -2.3 -0.2 
Willie Anderson SAS 24 75 2592 13.0 .499 .035 .215 3.1 11.5 7.5 20.2 1.5 1.1 13.3 20.1  1.3 3.5 4.8 .089  -0.8 0.9 0.1 1.4 
Michael Ansley ORL 23 67 877 16.9 .594 .000 .483 14.7 16.8 15.7 4.3 1.5 0.5 9.1 16.3  2.3 0.7 3.1 .168  1.2 -1.2 0.0 0.4 
B.J. Armstrong CHI 23 82 1731 14.8 .529 .047 .176 1.7 8.3 5.1 23.4 2.0 0.1 13.6 19.5  2.3 1.8 4.1 .114  -0.4 -1.4 -1.8 0.1 
Vincent Askew GSW 24 7 85 10.9 .553 .000 .440 9.1 5.2 7.1 20.1 1.1 0.0 16.7 16.8  0.1 0.0 0.2 .093  0.1 -2.7 -2.6 0.0 
Keith Askins MIA 23 39 266 13.5 .467 .309 .309 12.4 16.2 14.3 10.2 2.9 3.0 10.7 15.8  0.2 0.4 0.6 .103  -0.6 2.0 1.4 0.2 
Milos Babic CLE 22 12 52 6.0 .391 .000 .632 13.4 6.7 10.0 10.9 1.0 1.2 17.1 24.6  -0.1 0.0 -0.1 -0.085  -6.0 -2.6 -8.6 -0.1 
Thurl Bailey UTA 29 82 2486 12.5 .513 .003 .311 5.1 13.6 9.6 7.7 1.1 2.3 11.6 20.0  0.6 3.1 3.7 .072  -2.4 1.2 -1.2 0.5 
Cedric Ball LAC 22 7 26 10.8 .450 .000 .250 20.4 25.3 22.8 0.0 0.0 4.6 18.4 17.0  0.0 0.0 0.0 .054  -7.4 -4.3 -11.7 -0.1 
Ken Bannister LAC 30 47 339 7.8 .506 .012 .802 10.6 20.0 15.3 3.6 0.7 1.2 18.6 16.1  -0.2 0.4 0.2 .028  -5.0 -1.2 -6.3 -0.4 
Charles Barkley* PHI 27 67 2498 28.9 .635 .133 .564 11.8 18.6 15.3 20.6 2.2 0.8 12.6 29.1  10.3 3.1 13.4 .258  9.0 0.9 9.9 7.4 
Dana Barros SEA 23 66 750 18.8 .600 .260 .273 2.7 8.7 5.7 21.9 1.5 0.1 13.4 22.5  2.1 0.4 2.5 .158  3.0 -3.2 -0.2 0.3 
