New York Knicks,.659
Brooklyn Nets,.598
Boston Celtics,.506
Philadelphia 76ers,.415
Toronto Raptors,.415
Indiana Pacers,.605
Chicago Bulls,.549
Milwaukee Bucks,.463
Detroit Pistons,.354
Cleveland Cavaliers,.293
Miami Heat,.805
Atlanta Hawks,.537
Washington Wizards,.354
Charlotte Bobcats,.256
Orlando Magic,.244
Oklahoma City Thunder,.732
Denver Nuggets,.695
Utah Jazz,.524
Portland Trail Blazers,.402
Minnesota Timberwolves,.378
Los Angeles Clippers,.683
Golden State Warriors,.573
Los Angeles Lakers,.549
Sacramento Kings,.341
Phoenix Suns,.305
San Antonio Spurs,.707
Memphis Grizzlies,.683
Houston Rockets,.549
Dallas Mavericks,.500
New Orleans Hornets,.329
