Philadelphia 76ers,.646
Boston Celtics,.634
New York Knicks,.549
Washington Bullets,.378
Miami Heat,.220
New Jersey Nets,.207
Detroit Pistons,.720
Chicago Bulls,.671
Milwaukee Bucks,.537
Cleveland Cavaliers,.512
Indiana Pacers,.512
Atlanta Hawks,.500
Orlando Magic,.220
San Antonio Spurs,.683
Utah Jazz,.671
Dallas Mavericks,.573
Denver Nuggets,.524
Houston Rockets,.500
Minnesota Timberwolves,.268
Charlotte Hornets,.232
Los Angeles Lakers,.768
Portland Trail Blazers,.720
Phoenix Suns,.659
Seattle SuperSonics,.500
Golden State Warriors,.451
Los Angeles Clippers,.366
Sacramento Kings,.280
