Mark Acres ORL 27 80 1691 8.3 .536 .014 .421 9.3 17.8 13.4 5.0 1.0 0.8 17.2 9.4  1.1 0.6 1.6 .047  -2.2 0.2 -2.0 0.0 
Michael Adams DEN 27 79 2690 15.4 .542 .437 .317 1.8 7.3 4.4 23.3 2.0 0.1 11.1 18.5  4.4 2.5 6.9 .124  2.7 -0.9 1.7 2.5 
Mark Aguirre DET 30 78 2005 15.8 .544 .104 .283 6.7 10.6 8.7 11.6 0.9 0.6 10.7 24.3  3.1 2.5 5.7 .136  1.1 -0.5 0.6 1.3 
Danny Ainge SAC 30 75 2727 16.1 .528 .250 .231 2.9 10.6 6.8 25.5 2.1 0.4 12.7 23.0  2.7 2.1 4.8 .085  2.2 -0.6 1.6 2.5 
Mark Alarie WSB 26 82 1893 14.1 .510 .062 .169 8.5 12.8 10.7 10.5 1.5 1.2 10.7 20.4  1.5 1.6 3.1 .079  -0.4 -0.6 -1.0 0.5 
Steve Alford DAL 25 41 302 18.7 .544 .159 .268 0.8 8.5 4.7 21.2 2.5 0.6 9.4 24.7  0.6 0.3 0.9 .144  1.0 -2.0 -1.0 0.1 
Randy Allen SAC 25 63 746 8.4 .456 .029 .180 7.5 13.4 10.5 4.4 1.1 1.5 9.8 16.5  -0.3 0.6 0.2 .014  -4.6 -1.3 -5.9 -0.7 
Greg Anderson MIL 25 60 1291 13.0 .522 .000 .394 9.8 23.6 16.6 2.7 1.2 2.6 13.6 19.1  0.2 1.7 2.0 .073  -4.0 -0.8 -4.8 -0.9 
Nick Anderson ORL 22 81 1785 14.9 .536 .023 .351 6.1 12.7 9.3 10.5 1.8 1.0 13.7 22.1  1.2 0.7 1.8 .049  -0.7 -1.0 -1.7 0.1 
Richard Anderson CHH 29 54 604 13.3 .522 .474 .109 5.9 18.8 11.9 13.4 1.6 0.9 10.5 17.4  0.4 0.5 1.0 .077  0.0 -0.1 -0.1 0.3 
Ron Anderson PHI 31 78 2089 13.9 .499 .025 .234 4.4 11.5 8.0 10.0 1.7 0.4 7.8 20.4  2.0 1.7 3.8 .086  -0.8 -0.8 -1.6 0.2 
Willie Anderson SAS 23 82 2788 15.2 .532 .024 .268 4.8 10.1 7.5 19.6 1.9 1.3 14.1 20.9  2.8 3.7 6.5 .111  0.6 0.8 1.4 2.4 
Michael Ansley ORL 22 72 1221 17.3 .554 .000 .488 15.7 15.6 15.6 4.8 0.9 0.8 8.1 19.7  3.0 0.3 3.3 .129  1.3 -2.8 -1.5 0.1 
