New York Knicks,.732
Boston Celtics,.585
New Jersey Nets,.524
Orlando Magic,.500
Miami Heat,.439
Philadelphia 76ers,.317
Washington Bullets,.268
Chicago Bulls,.695
Cleveland Cavaliers,.659
Charlotte Hornets,.537
Atlanta Hawks,.524
Indiana Pacers,.500
Detroit Pistons,.488
Milwaukee Bucks,.341
Houston Rockets,.671
San Antonio Spurs,.598
Utah Jazz,.573
Denver Nuggets,.439
Minnesota Timberwolves,.232
Dallas Mavericks,.134
Phoenix Suns,.756
Seattle SuperSonics,.671
Portland Trail Blazers,.622
Los Angeles Clippers,.500
Los Angeles Lakers,.476
Golden State Warriors,.415
Sacramento Kings,.305
