Orlando Magic,.732
New York Knicks,.573
Miami Heat,.512
Washington Bullets,.476
Boston Celtics,.402
New Jersey Nets,.366
Philadelphia 76ers,.220
Chicago Bulls,.878
Indiana Pacers,.634
Cleveland Cavaliers,.573
Atlanta Hawks,.561
Detroit Pistons,.561
Charlotte Hornets,.500
Milwaukee Bucks,.305
Toronto Raptors,.256
San Antonio Spurs,.720
Utah Jazz,.671
Houston Rockets,.585
Denver Nuggets,.427
Minnesota Timberwolves,.317
Dallas Mavericks,.317
Vancouver Grizzlies,.183
Seattle SuperSonics,.780
Los Angeles Lakers,.646
Portland Trail Blazers,.537
Phoenix Suns,.500
Sacramento Kings,.476
Golden State Warriors,.439
Los Angeles Clippers,.354
