Mookie Blaylock ATL 29 78 3056 20.4 .548 .521 .150 4.6 11.4 8.1 27.7 3.8 0.5 13.0 21.9  7.0 5.6 12.5 .197  5.3 2.0 7.2 7.1 
Corie Blount LAL 28 58 1009 11.9 .559 .017 .464 12.9 18.3 15.6 5.2 1.1 2.0 18.8 11.8  1.1 1.4 2.5 .117  -2.0 1.0 -1.0 0.3 
Muggsy Bogues CHH 32 65 1880 15.7 .554 .325 .144 1.7 7.2 4.5 38.6 2.4 0.1 18.6 14.5  3.9 1.1 5.0 .127  1.3 -2.7 -1.3 0.3 
Dexter Boney PHO 26 8 48 10.2 .422 .316 .421 7.3 7.2 7.3 0.0 2.1 1.5 4.3 22.1  0.0 0.0 0.0 .013  -4.7 -5.0 -9.7 -0.1 
Melvin Booker TOT 24 21 430 8.8 .536 .352 .190 1.9 6.1 4.0 19.1 0.4 0.4 19.2 14.6  0.3 -0.1 0.1 .014  -1.8 -3.6 -5.4 -0.4 
Bruce Bowen MIA 25 1 1 37.7    0.0 0.0 0.0 0.0 0.0 77.8  0.0  0.0 0.0 0.0 .321  -10.6 46.8 36.2 0.0 
Donnie Boyce ATL 23 22 154 7.0 .378 .254 .349 5.5 6.1 5.8 14.7 3.6 2.0 18.0 27.2  -0.5 0.3 -0.3 -0.081  -6.7 0.0 -6.7 -0.2 
Shawn Bradley TOT 24 73 2288 16.5 .478 .009 .252 10.4 19.8 14.9 4.2 0.9 8.3 11.8 22.1  0.0 3.0 3.0 .062  -3.8 2.2 -1.6 0.2 
Mark Bradtke PHI 28 36 251 9.6 .463 .000 .224 11.0 18.7 14.8 4.2 1.0 1.4 12.4 12.2  0.1 0.1 0.2 .044  -4.3 -1.8 -6.1 -0.3 
Terrell Brandon CLE 26 78 2868 21.5 .526 .206 .226 2.1 11.7 6.8 35.6 2.8 0.9 11.0 28.3  6.2 4.7 10.8 .181  3.8 0.8 4.6 4.8 
Frank Brickowski BOS 37 17 255 6.9 .512 .274 .192 2.5 13.7 7.7 9.1 1.0 1.2 19.4 16.5  -0.2 0.1 -0.1 -0.020  -4.5 -2.2 -6.7 -0.3 
Scott Brooks NYK 31 38 251 11.0 .625 .308 .385 3.0 5.5 4.3 17.8 4.4 0.0 27.2 11.5  0.2 0.5 0.7 .136  -1.4 1.7 0.3 0.1 
Chucky Brown TOT 28 70 757 11.3 .552 .039 .455 6.6 17.1 11.9 5.7 0.6 2.2 9.3 12.4  1.0 0.6 1.6 .101  -2.2 -0.4 -2.7 -0.1 
Dee Brown BOS 28 21 522 11.3 .455 .392 .133 1.6 9.6 5.3 19.6 3.0 1.0 12.0 16.4  0.1 0.3 0.3 .030  -1.5 -1.0 -2.5 -0.1 
Marcus Brown POR 22 21 184 12.9 .523 .457 .271 2.7 6.9 4.8 18.0 2.3 0.8 14.2 22.4  0.2 0.2 0.4 .105  -0.1 -1.8 -1.9 0.0 
Mike Brown PHO 33 6 83 11.1 .488 .000 .833 12.8 22.4 17.6 8.2 0.6 0.9 10.9 10.0  0.1 0.1 0.2 .107  -2.1 0.1 -2.0 0.0 
P.J. Brown MIA 27 80 2592 13.8 .505 .003 .335 11.1 19.4 15.3 5.9 1.8 2.9 13.1 15.7  2.1 5.4 7.5 .139  -2.1 3.5 1.4 2.2 
