Kareem Abdul-Jabbar* LAL 40 80 2308 15.8 .570 .001 .298 6.1 16.9 11.7 8.4 1.0 2.2 13.5 21.4  2.6 2.7 5.3 .111  -0.8 0.2 -0.6 0.8 
Mark Acres BOS 25 79 1151 9.3 .570 .000 .547 11.6 15.9 13.9 4.5 1.2 1.3 17.7 11.4  1.1 1.0 2.2 .090  -1.0 0.0 -1.0 0.3 
Alvan Adams PHO 33 82 1646 13.1 .543 .004 .253 8.0 17.0 12.5 14.9 2.4 1.4 19.9 17.4  0.6 1.6 2.2 .064  -1.2 1.5 0.3 1.0 
Michael Adams DEN 25 82 2778 15.6 .560 .409 .215 1.5 7.2 4.2 22.5 2.8 0.3 12.4 16.2  4.4 3.2 7.5 .130  2.3 0.0 2.2 3.0 
Mark Aguirre DAL 28 77 2610 21.9 .539 .109 .321 7.7 10.3 9.0 18.4 1.3 1.3 10.2 31.6  6.5 2.3 8.8 .163  4.3 -1.2 3.1 3.4 
Danny Ainge BOS 28 81 3018 15.9 .598 .364 .183 2.5 7.0 4.9 22.2 1.9 0.3 12.6 17.3  6.7 1.9 8.6 .136  3.9 -1.1 2.9 3.7 
Mark Alarie WSB 24 63 769 11.6 .508 .060 .163 10.1 13.2 11.6 7.7 0.6 0.9 13.5 19.9  0.3 0.6 0.9 .058  -1.4 -1.5 -3.0 -0.2 
Steve Alford DAL 23 28 197 11.6 .472 .145 .309 1.7 10.9 6.3 15.4 4.3 0.9 16.1 15.6  0.0 0.3 0.3 .082  -2.6 1.8 -0.8 0.1 
Greg Anderson SAS 23 82 1984 14.7 .531 .007 .434 8.7 19.4 14.0 5.3 1.3 3.4 13.7 20.8  0.8 1.5 2.3 .056  -2.2 -0.6 -2.7 -0.4 
Richard Anderson TOT 27 74 1350 11.1 .474 .342 .175 7.3 17.0 12.1 10.4 1.8 0.7 11.4 15.6  0.7 1.6 2.3 .082  -0.7 0.5 -0.2 0.6 
Ron Anderson IND 29 74 1097 16.2 .544 .005 .323 8.9 12.6 10.8 10.5 1.8 0.3 12.8 22.0  1.3 1.2 2.5 .108  -0.1 -0.7 -0.9 0.3 
Joe Arlauckas SAC 22 9 85 7.9 .365 .000 .186 7.6 9.0 8.3 13.3 1.7 2.6 7.9 24.0  -0.1 0.1 -0.1 -0.045  -4.9 -1.6 -6.5 -0.1 
Vincent Askew PHI 21 14 234 7.1 .330 .000 .149 3.0 8.0 5.5 19.8 2.1 1.5 13.2 16.4  -0.4 0.2 -0.2 -0.043  -5.4 -0.5 -5.9 -0.2 
John Bagley NJN 27 82 2774 12.4 .503 .180 .201 2.5 8.5 5.4 25.8 1.9 0.2 17.1 17.9  0.8 1.7 2.6 .044  -0.6 -0.8 -1.4 0.4 
James Bailey PHO 30 65 869 8.3 .514 .017 .369 9.4 17.9 13.6 6.2 0.9 1.9 20.0 16.4  -0.2 0.6 0.4 .023  -3.9 -0.5 -4.4 -0.5 
Thurl Bailey UTA 26 82 2804 16.3 .547 .002 .317 5.4 14.6 10.2 8.6 0.8 2.6 11.5 24.2  2.7 4.1 6.8 .116  -0.7 1.1 0.4 1.7 
Charles Barkley* PHI 24 80 3170 27.6 .665 .122 .741 14.0 20.8 17.4 14.1 1.6 1.9 15.2 26.7  13.4 3.3 16.7 .253  8.3 0.7 9.0 8.7 
John Battle ATL 25 67 1227 16.3 .512 .067 .307 2.3 7.9 5.1 20.0 1.3 0.2 9.7 26.4  1.5 0.8 2.3 .092  0.8 -2.5 -1.7 0.1 
William Bedford DET 24 38 298 9.0 .454 .000 .228 10.4 13.9 12.2 1.8 1.3 3.3 14.6 18.2  -0.2 0.5 0.2 .039  -4.9 -0.1 -5.0 -0.2 
Benoit Benjamin LAC 23 66 2171 14.1 .534 .012 .368 5.3 21.2 13.0 12.2 1.1 5.9 21.7 19.3  -1.4 3.5 2.0 .045  -3.9 4.3 0.4 1.3 
