Toronto Raptors,.585
Brooklyn Nets,.537
New York Knicks,.451
Boston Celtics,.305
Philadelphia 76ers,.232
Indiana Pacers,.683
Chicago Bulls,.585
Cleveland Cavaliers,.402
Detroit Pistons,.354
Milwaukee Bucks,.183
Miami Heat,.659
Washington Wizards,.537
Charlotte Bobcats,.524
Atlanta Hawks,.463
Orlando Magic,.280
Oklahoma City Thunder,.720
Portland Trail Blazers,.659
Minnesota Timberwolves,.488
Denver Nuggets,.439
Utah Jazz,.305
Los Angeles Clippers,.695
Golden State Warriors,.622
Phoenix Suns,.585
Sacramento Kings,.341
Los Angeles Lakers,.329
San Antonio Spurs,.756
Houston Rockets,.659
Memphis Grizzlies,.610
Dallas Mavericks,.598
New Orleans Pelicans,.415
