New Jersey Nets,.598
Philadelphia 76ers,.463
Boston Celtics,.402
Toronto Raptors,.329
New York Knicks,.280
Detroit Pistons,.780
Cleveland Cavaliers,.610
Indiana Pacers,.500
Chicago Bulls,.500
Milwaukee Bucks,.488
Miami Heat,.634
Washington Wizards,.512
Orlando Magic,.439
Charlotte Bobcats,.317
Atlanta Hawks,.317
Denver Nuggets,.537
Utah Jazz,.500
Seattle SuperSonics,.427
Minnesota Timberwolves,.402
Portland Trail Blazers,.256
Phoenix Suns,.659
Los Angeles Clippers,.573
Los Angeles Lakers,.549
Sacramento Kings,.537
Golden State Warriors,.415
San Antonio Spurs,.768
Dallas Mavericks,.732
Memphis Grizzlies,.598
New Orleans/Oklahoma City Hornets,.463
Houston Rockets,.415
