Orlando Magic,.695
New York Knicks,.671
Boston Celtics,.427
Miami Heat,.390
New Jersey Nets,.366
Philadelphia 76ers,.293
Washington Bullets,.256
Indiana Pacers,.634
Charlotte Hornets,.610
Chicago Bulls,.573
Cleveland Cavaliers,.524
Atlanta Hawks,.512
Milwaukee Bucks,.415
Detroit Pistons,.341
San Antonio Spurs,.756
Utah Jazz,.732
Houston Rockets,.573
Denver Nuggets,.500
Dallas Mavericks,.439
Minnesota Timberwolves,.256
Phoenix Suns,.720
Seattle SuperSonics,.695
Los Angeles Lakers,.585
Portland Trail Blazers,.537
Sacramento Kings,.476
Golden State Warriors,.317
Los Angeles Clippers,.207
