Boston Celtics,.646
Toronto Raptors,.622
New York Knicks,.378
Philadelphia 76ers,.341
Brooklyn Nets,.244
Cleveland Cavaliers,.622
Milwaukee Bucks,.512
Indiana Pacers,.512
Chicago Bulls,.500
Detroit Pistons,.451
Washington Wizards,.598
Atlanta Hawks,.524
Miami Heat,.500
Charlotte Hornets,.439
Orlando Magic,.354
Utah Jazz,.622
Oklahoma City Thunder,.573
Portland Trail Blazers,.500
Denver Nuggets,.488
Minnesota Timberwolves,.378
Golden State Warriors,.817
Los Angeles Clippers,.622
Sacramento Kings,.390
Los Angeles Lakers,.317
Phoenix Suns,.293
San Antonio Spurs,.744
Houston Rockets,.671
Memphis Grizzlies,.524
New Orleans Pelicans,.415
Dallas Mavericks,.402
