Quincy Acy NYK 24 68 1287 11.9 .533 .181 .293 6.9 20.5 13.5 8.7 1.1 1.4 13.8 15.5  1.0 0.7 1.7 .063  -2.3 -0.8 -3.1 -0.3 
Jordan Adams MEM 20 30 248 12.8 .489 .291 .267 4.2 8.7 6.4 10.1 3.4 2.3 12.7 20.4  0.0 0.4 0.4 .073  -1.8 1.2 -0.6 0.1 
Steven Adams OKC 21 70 1771 14.1 .549 .005 .514 12.2 19.3 15.8 5.5 1.1 3.8 16.8 14.3  1.9 2.2 4.1 .111  -1.4 1.8 0.4 1.1 
Jeff Adrien MIN 28 17 215 14.2 .494 .000 .864 11.9 29.6 20.5 10.5 0.9 3.3 12.9 14.3  0.2 0.2 0.4 .087  -2.7 0.5 -2.2 0.0 
Arron Afflalo TOT 29 78 2502 10.7 .533 .377 .224 1.1 9.7 5.3 8.2 0.8 0.2 10.7 19.0  1.6 1.0 2.6 .050  -0.5 -1.3 -1.8 0.1 
Alexis Ajinca NOP 26 68 957 19.9 .595 .000 .301 12.4 25.0 18.7 8.2 1.2 4.0 15.6 21.1  1.9 1.2 3.2 .159  -0.5 0.6 0.2 0.5 
Furkan Aldemir PHI 23 41 540 12.0 .517 .064 .346 14.9 20.7 17.7 8.3 1.6 2.4 15.9 8.6  0.7 0.7 1.4 .122  -2.7 2.0 -0.7 0.2 
Cole Aldrich NYK 26 61 976 18.1 .513 .000 .213 11.6 28.9 20.0 13.3 2.0 5.5 15.2 18.3  0.8 1.4 2.2 .107  -2.2 3.1 0.9 0.7 
LaMarcus Aldridge POR 29 71 2512 22.8 .528 .074 .256 7.7 22.9 15.5 9.2 1.0 1.9 7.2 30.2  4.9 3.7 8.6 .165  0.3 0.0 0.3 1.4 
Lavoy Allen IND 25 63 1070 14.9 .493 .000 .157 12.8 20.5 16.7 10.9 0.7 3.1 11.1 15.2  1.3 1.6 2.8 .127  -1.4 2.2 0.8 0.8 
