Boston Celtics,.549
Philadelphia 76ers,.524
New Jersey Nets,.512
Toronto Raptors,.402
New York Knicks,.402
Detroit Pistons,.659
Chicago Bulls,.573
Indiana Pacers,.537
Cleveland Cavaliers,.512
Milwaukee Bucks,.366
Miami Heat,.720
Washington Wizards,.549
Orlando Magic,.439
Charlotte Bobcats,.220
Atlanta Hawks,.159
Seattle SuperSonics,.634
Denver Nuggets,.598
Minnesota Timberwolves,.537
Portland Trail Blazers,.329
Utah Jazz,.317
Phoenix Suns,.756
Sacramento Kings,.610
Los Angeles Clippers,.451
Los Angeles Lakers,.415
Golden State Warriors,.415
San Antonio Spurs,.720
Dallas Mavericks,.707
Houston Rockets,.622
Memphis Grizzlies,.549
New Orleans Hornets,.220
