Boston Celtics,.622
New York Knicks,.622
New Jersey Nets,.488
Miami Heat,.463
Philadelphia 76ers,.427
Washington Bullets,.305
Orlando Magic,.256
Chicago Bulls,.817
Cleveland Cavaliers,.695
Detroit Pistons,.585
Indiana Pacers,.488
Atlanta Hawks,.463
Milwaukee Bucks,.378
Charlotte Hornets,.378
Utah Jazz,.671
San Antonio Spurs,.573
Houston Rockets,.512
Denver Nuggets,.293
Dallas Mavericks,.268
Minnesota Timberwolves,.183
Portland Trail Blazers,.695
Golden State Warriors,.671
Phoenix Suns,.646
Seattle SuperSonics,.573
Los Angeles Clippers,.549
Los Angeles Lakers,.524
Sacramento Kings,.354
