Boston Celtics,.591
New York Knicks,.545
Philadelphia 76ers,.530
Toronto Raptors,.348
New Jersey Nets,.333
Chicago Bulls,.758
Indiana Pacers,.636
Milwaukee Bucks,.470
Detroit Pistons,.379
Cleveland Cavaliers,.318
Miami Heat,.697
Atlanta Hawks,.606
Orlando Magic,.561
Washington Wizards,.303
Charlotte Bobcats,.106
Oklahoma City Thunder,.712
Denver Nuggets,.576
Utah Jazz,.545
Portland Trail Blazers,.424
Minnesota Timberwolves,.394
Los Angeles Lakers,.621
Los Angeles Clippers,.606
Phoenix Suns,.500
Golden State Warriors,.348
Sacramento Kings,.333
San Antonio Spurs,.758
Memphis Grizzlies,.621
Dallas Mavericks,.545
Houston Rockets,.515
New Orleans Hornets,.318
