Toronto Raptors,.720
Boston Celtics,.671
Philadelphia 76ers,.634
New York Knicks,.354
Brooklyn Nets,.341
Cleveland Cavaliers,.610
Indiana Pacers,.585
Milwaukee Bucks,.537
Detroit Pistons,.476
Chicago Bulls,.329
Miami Heat,.537
Washington Wizards,.524
Charlotte Hornets,.439
Orlando Magic,.305
Atlanta Hawks,.293
Portland Trail Blazers,.598
Oklahoma City Thunder,.585
Utah Jazz,.585
Minnesota Timberwolves,.573
Denver Nuggets,.561
Golden State Warriors,.707
Los Angeles Clippers,.512
Los Angeles Lakers,.427
Sacramento Kings,.329
Phoenix Suns,.256
Houston Rockets,.793
New Orleans Pelicans,.585
San Antonio Spurs,.573
Dallas Mavericks,.293
Memphis Grizzlies,.268
