New Jersey Nets,.634
Boston Celtics,.598
Orlando Magic,.537
Philadelphia 76ers,.524
Washington Wizards,.451
Miami Heat,.439
New York Knicks,.366
Detroit Pistons,.610
Charlotte Hornets,.537
Toronto Raptors,.512
Indiana Pacers,.512
Milwaukee Bucks,.500
Atlanta Hawks,.402
Cleveland Cavaliers,.354
Chicago Bulls,.256
San Antonio Spurs,.707
Dallas Mavericks,.695
Minnesota Timberwolves,.610
Utah Jazz,.537
Houston Rockets,.341
Denver Nuggets,.329
Memphis Grizzlies,.280
Sacramento Kings,.744
Los Angeles Lakers,.707
Portland Trail Blazers,.598
Seattle SuperSonics,.549
Los Angeles Clippers,.476
Phoenix Suns,.439
Golden State Warriors,.256
