Shareef Abdur-Rahim SAC 31 6 51 5.5 .317 .000 .286 14.2 9.1 11.6 11.1 1.0 0.0 6.0 14.7  0.0 0.0 0.0 -0.005  -3.6 -2.1 -5.7 0.0 
Arron Afflalo DET 22 75 970 10.2 .494 .199 .361 4.4 12.5 8.4 8.1 1.8 0.7 10.9 15.2  0.5 1.4 1.9 .092  -2.3 0.6 -1.6 0.1 
Maurice Ager TOT 23 26 165 1.8 .363 .292 .185 2.8 6.3 4.6 8.0 0.0 0.4 7.9 21.3  -0.4 0.0 -0.4 -0.114  -6.8 -4.5 -11.3 -0.4 
Blake Ahearn MIA 23 12 177 9.0 .495 .596 .544 0.7 12.4 6.4 17.2 1.8 0.0 18.5 23.2  -0.1 0.1 0.0 -0.006  -2.8 -2.8 -5.6 -0.2 
LaMarcus Aldridge POR 22 76 2649 18.5 .523 .006 .257 9.8 15.8 12.8 8.8 1.1 2.8 8.9 25.3  3.5 2.8 6.2 .113  0.1 0.7 0.8 1.8 
Malik Allen TOT 29 73 1096 9.8 .500 .006 .076 7.0 13.6 10.4 6.8 0.9 2.2 11.7 16.1  0.1 0.9 1.0 .045  -3.6 -0.3 -3.9 -0.5 
Ray Allen* BOS 32 73 2624 16.4 .584 .458 .240 3.6 8.3 6.1 14.6 1.3 0.5 10.4 21.6  5.6 4.1 9.7 .177  3.2 -0.1 3.1 3.4 
Tony Allen BOS 26 75 1373 10.7 .527 .147 .465 3.1 11.0 7.3 13.1 2.4 1.3 18.9 19.6  -0.1 2.8 2.7 .093  -3.2 1.8 -1.4 0.2 
Lance Allred CLE 26 3 10 -1.0 .307 .000 .500 0.0 11.8 5.7 0.0 0.0 0.0 0.0 22.1  0.0 0.0 0.0 -0.125  -12.6 -7.1 -19.7 0.0 
Morris Almond UTA 22 9 39 2.0 .368 .267 .400 0.0 6.2 3.1 10.5 1.3 0.0 10.2 22.5  -0.1 0.0 -0.1 -0.081  -6.9 -4.0 -11.0 -0.1 
Rafer Alston HOU 31 74 2526 13.2 .492 .440 .148 1.3 10.2 5.8 25.2 2.1 0.5 14.0 20.7  1.0 4.0 5.0 .095  0.2 0.7 1.0 1.9 
Lou Amundson PHI 25 16 64 7.4 .472 .000 .438 12.9 9.4 11.1 0.0 0.8 1.2 9.5 14.9  0.0 0.0 0.1 .043  -4.5 -4.3 -8.8 -0.1 
Chris Andersen NOH 29 5 34 6.1 .342 .000 .571 6.7 24.6 15.5 0.0 0.0 9.2 10.2 13.3  -0.1 0.1 0.0 .012  -10.4 0.8 -9.6 -0.1 
Derek Anderson CHA 33 28 396 10.0 .497 .416 .304 2.6 12.6 7.5 17.8 1.6 0.2 15.0 19.3  0.0 0.3 0.3 .032  -1.9 -1.8 -3.7 -0.2 
Carmelo Anthony DEN 23 77 2806 21.1 .568 .111 .398 7.0 14.9 11.0 16.1 1.7 1.0 12.7 30.2  5.2 3.0 8.2 .140  2.2 -0.6 1.6 2.6 
Joel Anthony MIA 25 24 498 8.8 .521 .000 .817 9.0 13.4 11.2 0.9 1.0 5.0 17.2 9.4  0.1 0.4 0.6 .054  -4.8 1.4 -3.4 -0.2 
Gilbert Arenas WAS 26 13 425 18.2 .529 .398 .490 1.6 12.8 7.0 27.4 2.9 0.2 17.1 31.1  0.2 0.4 0.6 .070  2.3 -1.6 0.7 0.3 
Trevor Ariza TOT 22 35 546 16.1 .568 .132 .551 6.4 15.4 11.1 11.8 2.9 1.5 12.0 15.6  0.9 0.9 1.8 .157  0.0 1.8 1.8 0.5 
Darrell Armstrong NJN 39 50 549 8.7 .499 .627 .273 3.6 10.6 7.1 20.5 2.7 0.3 25.0 13.7  -0.2 0.5 0.3 .024  -2.6 -0.4 -3.0 -0.1 
Hilton Armstrong NOH 23 65 732 7.7 .498 .000 .473 10.1 16.0 13.0 4.4 1.1 3.6 24.8 15.1  -0.5 1.0 0.5 .032  -5.1 1.8 -3.3 -0.2 
Carlos Arroyo ORL 28 62 1269 12.8 .547 .241 .293 0.9 9.0 5.1 26.6 1.1 0.1 16.4 17.0  1.7 1.1 2.8 .107  -0.8 -1.4 -2.2 -0.1 
Chucky Atkins DEN 33 24 352 8.9 .449 .648 .074 0.9 8.4 4.8 18.7 1.2 0.2 7.4 16.4  0.1 0.2 0.3 .040  -1.1 -2.9 -4.0 -0.2 
James Augustine ORL 23 25 149 10.8 .533 .000 .235 12.9 10.4 11.6 2.1 1.7 1.0 13.8 13.4  0.1 0.2 0.3 .098  -2.2 -0.3 -2.6 0.0 
Kelenna Azubuike GSW 24 81 1732 13.5 .534 .332 .235 6.4 14.0 10.0 6.1 1.3 1.4 8.2 17.2  2.3 1.1 3.4 .094  -0.3 -1.2 -1.5 0.2 
Renaldo Balkman NYK 23 65 952 11.5 .492 .065 .511 9.6 16.4 12.9 6.5 2.4 2.4 14.0 12.5  0.4 0.9 1.3 .065  -2.4 1.8 -0.6 0.3 
Marcus Banks TOT 26 36 569 12.6 .579 .534 .183 0.9 8.3 4.6 17.7 1.3 1.6 15.2 19.7  0.5 0.3 0.8 .068  0.1 -2.2 -2.1 0.0 
Leandro Barbosa PHO 25 82 2421 15.8 .575 .413 .209 2.0 8.2 5.4 13.5 1.5 0.5 9.5 22.8  3.9 1.6 5.5 .109  2.4 -1.8 0.6 1.6 
J.J. Barea DAL 23 44 460 11.7 .515 .318 .206 1.0 10.5 5.9 20.6 1.6 0.2 15.9 22.3  0.0 0.5 0.5 .052  -1.5 -1.8 -3.2 -0.1 
