Tariq Abdul-Wahad DAL 28 14 204 12.4 .470 .017 .103 7.6 14.0 10.8 15.4 1.5 1.1 10.3 15.0  0.2 0.2 0.4 .104  -1.2 0.7 -0.5 0.1 
Shareef Abdur-Rahim ATL 26 81 3087 19.9 .566 .051 .457 6.7 17.8 12.5 14.7 1.5 0.9 13.0 24.2  7.4 2.3 9.7 .151  2.1 -0.4 1.7 2.8 
Courtney Alexander NOH 25 66 1360 9.3 .459 .113 .289 3.3 6.8 5.0 9.8 1.2 0.3 10.7 21.3  0.1 1.0 1.1 .040  -3.2 -2.3 -5.5 -1.2 
Malik Allen MIA 24 80 2318 9.9 .455 .005 .153 6.5 14.9 10.6 4.4 0.9 2.6 13.2 19.7  -1.7 2.6 0.9 .018  -4.6 0.6 -3.9 -1.1 
Ray Allen* TOT 27 76 2880 21.3 .565 .391 .253 3.8 11.8 7.8 21.6 1.9 0.4 11.6 27.8  7.6 1.5 9.1 .152  5.6 -1.8 3.7 4.2 
Rafer Alston TOR 26 47 980 14.4 .510 .388 .161 2.3 10.4 6.2 34.0 2.1 1.1 19.3 20.7  0.7 0.5 1.2 .059  0.6 -2.1 -1.5 0.1 
John Amaechi UTA 32 50 474 3.1 .351 .000 .441 6.9 12.5 9.8 6.8 1.6 1.1 19.4 17.0  -1.1 0.4 -0.7 -0.070  -7.0 -0.5 -7.5 -0.7 
Chris Andersen DEN 24 59 907 14.0 .440 .004 .491 13.3 22.3 17.6 6.3 1.7 5.3 14.8 19.9  -0.5 1.7 1.1 .059  -4.8 2.1 -2.7 -0.2 
Derek Anderson POR 28 76 2556 16.9 .556 .398 .323 2.5 10.0 6.2 20.7 1.9 0.5 11.9 19.5  5.9 2.2 8.1 .153  3.1 -0.6 2.5 2.9 
Kenny Anderson TOT 32 61 1135 13.6 .457 .018 .149 3.2 10.6 6.8 29.8 2.8 0.3 15.6 19.7  0.4 1.3 1.6 .069  -1.9 -0.3 -2.1 0.0 
Shandon Anderson NYK 29 82 1731 13.4 .553 .261 .354 4.2 13.2 8.6 8.3 2.2 0.8 15.5 19.6  1.2 1.4 2.7 .074  -0.6 -0.2 -0.8 0.5 
Robert Archibald MEM 22 12 72 2.4 .340 .000 .900 9.5 17.0 13.3 6.1 0.0 2.9 20.0 21.8  -0.3 0.0 -0.2 -0.158  -9.5 -2.2 -11.7 -0.2 
Gilbert Arenas GSW 21 82 2866 18.6 .540 .265 .397 3.6 10.6 7.2 30.0 2.2 0.4 17.3 24.9  5.8 0.7 6.5 .109  3.9 -1.6 2.2 3.1 
Brandon Armstrong NJN 22 17 69 3.9 .405 .222 .222 0.0 6.6 3.3 4.8 2.3 1.1 14.4 22.6  -0.2 0.1 -0.1 -0.050  -7.7 -1.8 -9.5 -0.1 
Darrell Armstrong ORL 34 82 2350 14.6 .530 .361 .292 4.3 10.2 7.2 21.7 3.0 0.4 18.1 16.9  2.7 2.2 4.9 .100  0.8 0.3 1.2 1.9 
Carlos Arroyo UTA 23 44 287 14.1 .510 .064 .202 4.8 6.1 5.5 33.1 2.2 0.3 20.2 23.8  0.1 0.2 0.3 .057  -0.9 -2.8 -3.7 -0.1 
Chucky Atkins DET 28 65 1398 10.1 .475 .520 .105 1.8 6.5 4.1 22.4 1.1 0.2 13.7 19.4  0.3 1.2 1.5 .053  -0.5 -2.3 -2.8 -0.3 
Stacey Augmon NOH 34 70 862 9.3 .474 .036 .375 3.5 12.7 8.0 12.5 1.7 0.8 15.2 13.9  0.2 1.0 1.2 .067  -3.8 0.2 -3.5 -0.3 
Dalibor Bagaric CHI 22 10 76 7.1 .342 .000 .154 10.3 18.6 14.5 8.2 2.0 2.9 15.3 19.1  -0.2 0.1 -0.1 -0.048  -6.7 0.5 -6.3 -0.1 
Vin Baker BOS 31 52 942 10.6 .531 .019 .517 10.5 13.3 11.9 5.3 1.2 2.5 19.4 15.5  0.5 1.1 1.6 .082  -4.0 0.5 -3.4 -0.3 
Brent Barry SEA 31 75 2480 15.8 .597 .508 .279 2.2 12.2 7.1 25.0 2.5 0.5 18.0 14.9  4.8 2.5 7.3 .141  2.3 0.6 2.9 3.0 
Jon Barry DET 33 80 1473 17.9 .593 .505 .236 2.6 12.0 7.2 25.5 2.4 0.7 14.8 17.9  3.4 2.2 5.6 .183  2.9 0.1 3.0 1.9 
Maceo Baston TOR 27 16 106 18.0 .661 .000 .480 4.1 21.3 12.4 0.0 2.0 7.3 16.5 15.6  0.2 0.2 0.3 .153  -4.8 -0.4 -5.2 -0.1 
Mengke Bateer SAS 27 12 46 -8.4 .252 .176 .118 5.3 19.2 12.6 13.5 0.0 0.0 25.1 24.1  -0.3 0.1 -0.2 -0.248  -12.5 -2.0 -14.4 -0.1 
Mike Batiste MEM 25 75 1248 12.2 .476 .173 .188 7.5 15.6 11.6 6.9 1.7 0.9 12.0 20.7  0.0 0.7 0.8 .029  -2.2 -1.7 -3.9 -0.6 
Tony Battie BOS 26 67 1683 15.2 .578 .014 .320 9.7 19.7 14.6 5.2 1.0 3.8 10.2 12.9  3.3 2.5 5.8 .164  -2.0 1.8 -0.1 0.8 
Shane Battier MEM 24 78 2383 15.0 .597 .380 .255 6.1 10.1 8.1 6.8 2.2 2.5 9.7 13.2  4.8 1.5 6.2 .126  2.4 1.2 3.6 3.4 
Lonny Baxter CHI 24 55 682 11.3 .521 .010 .500 10.7 16.0 13.4 3.8 0.7 2.3 15.5 19.3  0.4 0.5 0.9 .063  -3.2 -2.0 -5.2 -0.5 
Raja Bell DAL 26 75 1173 7.9 .509 .242 .161 4.4 9.2 6.8 6.8 2.3 0.5 16.0 10.4  0.5 1.2 1.7 .069  -1.7 1.2 -0.5 0.5 
Jonathan Bender IND 22 46 819 13.3 .521 .209 .331 5.9 12.2 9.1 8.6 0.5 5.0 12.6 18.4  0.7 1.0 1.7 .099  -1.7 0.9 -0.8 0.2 
Corey Benjamin ATL 24 9 152 7.3 .400 .302 .372 7.8 15.1 11.6 10.4 0.3 0.9 10.7 16.9  0.0 0.1 0.0 .004  -3.3 -2.5 -5.8 -0.1 
Travis Best MIA 30 72 1807 11.2 .473 .187 .211 1.6 8.0 4.7 25.7 1.3 0.3 14.3 19.4  0.5 1.4 1.8 .048  -1.5 -1.3 -2.8 -0.4 
Mike Bibby SAC 24 55 1835 17.6 .559 .196 .267 2.1 6.3 4.3 24.3 2.0 0.3 14.0 21.9  3.5 2.0 5.6 .146  1.9 -0.9 1.0 1.4 
Chauncey Billups DET 26 74 2327 20.4 .582 .437 .416 1.9 12.2 7.0 23.7 1.5 0.5 11.5 24.1  7.0 2.9 9.9 .204  5.0 -0.7 4.2 3.7 
Corie Blount CHI 34 50 836 9.6 .502 .000 .261 9.1 17.9 13.5 8.9 2.0 1.7 22.3 10.2  0.2 0.9 1.1 .064  -2.6 1.9 -0.7 0.3 
Mark Blount TOT 27 81 1403 10.6 .491 .000 .401 8.8 16.9 12.6 7.0 1.6 3.8 20.2 16.4  -0.4 2.1 1.7 .059  -4.9 2.0 -3.0 -0.3 
Calvin Booth SEA 26 47 575 9.9 .494 .017 .395 6.5 16.0 11.2 3.3 1.0 4.5 13.6 13.2  0.2 0.7 0.8 .071  -4.8 1.2 -3.5 -0.2 
Carlos Boozer CLE 21 81 2049 17.9 .577 .002 .311 10.8 22.7 16.6 9.3 1.5 1.7 12.8 17.1  4.2 1.8 5.9 .139  0.3 -0.1 0.2 1.1 
Ruben Boumtje-Boumtje POR 24 2 5 18.4 .000 .000 .000 24.2 0.0 12.1 26.6 10.7 0.0 0.0 9.2  0.0 0.0 0.0 .114  1.8 8.0 9.8 0.0 
Bruce Bowen SAS 31 82 2566 9.1 .563 .478 .186 2.8 7.8 5.4 6.8 1.4 1.1 12.2 10.7  2.4 2.7 5.1 .096  0.3 1.2 1.5 2.3 
Ryan Bowen DEN 27 62 996 12.7 .519 .036 .208 8.7 9.7 9.2 9.3 3.4 2.3 16.7 11.5  0.6 1.6 2.1 .102  -2.1 3.2 1.1 0.8 
Earl Boykins GSW 26 68 1321 17.6 .543 .166 .431 2.9 4.2 3.5 26.8 1.5 0.2 11.7 20.1  3.9 -0.4 3.5 .127  2.2 -4.6 -2.3 -0.1 
Michael Bradley TOR 23 67 1314 12.8 .492 .019 .213 13.5 22.4 17.7 8.4 0.7 1.7 18.1 14.6  0.7 0.9 1.5 .056  -2.5 -0.2 -2.6 -0.2 
Shawn Bradley DAL 30 81 1731 18.3 .601 .003 .467 9.6 20.7 15.1 4.6 1.9 7.3 12.9 13.6  3.9 3.5 7.4 .204  -0.4 4.7 4.3 2.8 
Elton Brand LAC 23 62 2454 21.7 .543 .001 .396 13.1 19.3 16.2 12.0 1.5 4.6 13.2 22.4  4.9 2.7 7.6 .149  2.1 2.4 4.5 4.1 
J.R. Bremer BOS 22 64 1503 12.7 .515 .616 .239 1.3 9.8 5.5 19.2 1.3 0.2 10.3 17.7  1.8 1.2 3.0 .096  0.1 -2.0 -1.9 0.0 
Jamison Brewer IND 22 10 80 13.4 .525 .118 .529 7.2 5.5 6.3 36.4 1.3 0.9 22.3 15.2  0.1 0.1 0.2 .106  -0.6 -2.5 -3.1 0.0 
