Boston Celtics,.683
Philadelphia 76ers,.537
New York Knicks,.476
Washington Bullets,.366
New Jersey Nets,.317
Miami Heat,.293
Chicago Bulls,.744
Detroit Pistons,.610
Milwaukee Bucks,.585
Atlanta Hawks,.524
Indiana Pacers,.500
Cleveland Cavaliers,.402
Charlotte Hornets,.317
San Antonio Spurs,.671
Utah Jazz,.659
Houston Rockets,.634
Orlando Magic,.378
Minnesota Timberwolves,.354
Dallas Mavericks,.341
Denver Nuggets,.244
Portland Trail Blazers,.768
Los Angeles Lakers,.707
Phoenix Suns,.671
Golden State Warriors,.537
Seattle SuperSonics,.500
Los Angeles Clippers,.378
Sacramento Kings,.305
