New York Knicks,.695
Orlando Magic,.610
New Jersey Nets,.549
Miami Heat,.512
Boston Celtics,.390
Philadelphia 76ers,.305
Washington Bullets,.293
Atlanta Hawks,.695
Chicago Bulls,.671
Indiana Pacers,.573
Cleveland Cavaliers,.573
Charlotte Hornets,.500
Milwaukee Bucks,.244
Detroit Pistons,.244
Houston Rockets,.707
San Antonio Spurs,.671
Utah Jazz,.646
Denver Nuggets,.512
Minnesota Timberwolves,.244
Dallas Mavericks,.159
Seattle SuperSonics,.768
Phoenix Suns,.683
Golden State Warriors,.610
Portland Trail Blazers,.573
Los Angeles Lakers,.402
Sacramento Kings,.341
Los Angeles Clippers,.329
