Washington Wizards,Miami Heat,Visiting
Philadelphia 76ers,Memphis Grizzlies,Home
Milwaukee Bucks,Los Angeles Clippers,Home
Brooklyn Nets,Golden State Warriors,Home
Oklahoma City Thunder,Dallas Mavericks,Visiting
Cleveland Cavaliers,Chicago Bulls,Home
Boston Celtics,Utah Jazz,Home
Minnesota Timberwolves,Sacramento Kings,Home
Charlotte Hornets,Philadelphia 76ers,Home
Washington Wizards,Orlando Magic,Home
Indiana Pacers,Miami Heat,Visiting
Brooklyn Nets,Denver Nuggets,Visiting
Detroit Pistons,Atlanta Hawks,Visiting
Los Angeles Clippers,Portland Trail Blazers,Home
Boston Celtics,Phoenix Suns,Visiting
Houston Rockets,Oklahoma City Thunder,Home
Milwaukee Bucks,Golden State Warriors,Visiting
Dallas Mavericks,Utah Jazz,Home
Toronto Raptors,Sacramento Kings,Visiting
Detroit Pistons,Orlando Magic,Home
Chicago Bulls,New Orleans Pelicans,Visiting
San Antonio Spurs,Miami Heat,Home
Denver Nuggets,Memphis Grizzlies,Home
Minnesota Timberwolves,Los Angeles Lakers,Home
Philadelphia 76ers,Indiana Pacers,Home
Oklahoma City Thunder,Cleveland Cavaliers,Visiting
New York Knicks,Atlanta Hawks,Visiting
Milwaukee Bucks,Portland Trail Blazers,Home
Brooklyn Nets,Phoenix Suns,Home
Washington Wizards,Dallas Mavericks,Home
Atlanta Hawks,Charlotte Hornets,Home
Toronto Raptors,Utah Jazz,Visiting
Cleveland Cavaliers,Orlando Magic,Home
New Orleans Pelicans,Oklahoma City Thunder,Home
Chicago Bulls,New York Knicks,Visiting
Minnesota Timberwolves,Los Angeles Clippers,Home
Houston Rockets,Indiana Pacers,Visiting
Memphis Grizzlies,Golden State Warriors,Home
Miami Heat,Detroit Pistons,Visiting
Boston Celtics,Denver Nuggets,Home
New York Knicks,Washington Wizards,Visiting
Orlando Magic,San Antonio Spurs,Visiting
Minnesota Timberwolves,Portland Trail Blazers,Visiting
Memphis Grizzlies,Phoenix Suns,Home
